3012,國文(均),英文(均),,,,,英聽(B)
3022,國文(前),英文(前),,,,社會(均),英聽(A)
3032,國文(前),英文(均),,,,社會(前),
3042,國文(均),英文(均),,,,社會(均),
3052,國文(前),英文(前),,數B(前),,,
3062,,英文(前),,數B(前),,,
3072,國文(均),英文(前),數A(前),,自然(均),,
3082,國文(前),英文(前),,數B(前),,社會(均),
3092,國文(前),英文(前),數A(前),數B(前),,,英聽(B)
3102,國文(均),英文(均),數A(均),,,,英聽(B)
3112,國文(前),英文(前),,數B(均),,社會(前),
3122,,英文(均),數A(前),,自然(前),,
3132,,英文(均),數A(前),,自然(前),,
3142,,英文(均),數A(前),,自然(前),,
3152,,英文(均),數A(前),,自然(均),,
3162,,英文(均),數A(前),,自然(均),,
3172,,英文(均),數A(均),,自然(均),,
3182,國文(均),英文(均),數A(均),,自然(均),,
3192,國文(均),英文(均),數A(均),,自然(均),,
3202,,英文(均),數A(均),,自然(均),,
3212,,英文(均),數A(均),,自然(均),,
3222,,英文(均),數A(均),,自然(均),,
3232,,,數A(均),,自然(均),,
3242,國文(均),英文(均),數A(均),,,,
3262,,英文(均),數A(均),,自然(均),,
3272,,英文(均),數A(均),,自然(均),,
3282,,英文(均),數A(均),,自然(均),,
3292,國文(均),英文(均),數A(均),,自然(均),,
3302,國文(均),英文(均),,數B(均),自然(均),,英聽(B)
3312,國文(均),英文(均),,數B(均),自然(前),,英聽(B)
3322,國文(均),英文(均),,數B(均),自然(均),,
3332,國文(均),英文(均),,數B(均),自然(均),,
3342,國文(均),英文(均),,,自然(均),,
3352,國文(均),英文(均),數A(均),,自然(前),,
3362,國文(均),英文(均),數A(均),,自然(均),,英聽(B)
3372,,英文(均),數A(均),,自然(均),,
3382,國文(均),英文(均),數A(均),,自然(前),,
3392,國文(均),英文(均),數A(均),,,,
3402,國文(均),英文(前),數A(均),,自然(均),,英聽(A)
3412,,英文(均),數A(均),,自然(前),,
3422,國文(均),英文(前),數A(均),,自然(前),,英聽(B)
3432,國文(均),英文(均),數A(均),數B(均),,,
3442,國文(均),英文(均),,,,社會(均),
3452,,英文(均),數A(均),,自然(均),,
3462,,英文(均),數A(均),,自然(均),,
3472,,英文(均),數A(均),,自然(均),,
3482,,英文(均),數A(均),數B(均),自然(均),,
4012,國文(頂),英文(均),,,,社會(前),
4022,國文(前),英文(頂),,,,,
4032,國文(前),英文(前),,,,社會(前),
4042,國文(頂),英文(前),,,,社會(前),
4052,國文(後),英文(均),數A(前),,自然(均),,
4062,國文(均),英文(前),數A(前),,自然(前),,
4072,,英文(前),數A(前),,自然(前),,
4082,,英文(均),數A(均),,自然(均),,
4092,國文(均),英文(均),數A(前),,自然(前),,
4102,國文(均),英文(均),數A(前),,自然(均),,
4112,國文(均),英文(頂),數A(前),,自然(前),,英聽(A)
4122,國文(均),英文(前),數A(頂),,自然(頂),,
4132,,英文(前),數A(前),,自然(前),,
4142,國文(均),英文(均),數A(均),,自然(均),,
4152,國文(均),英文(均),數A(均),,自然(均),,
4162,國文(均),英文(均),數A(前),,自然(前),,
4172,,英文(前),數A(前),,自然(前),,
4182,國文(均),英文(前),數A(前),,自然(前),,
4192,,英文(前),數A(前),,自然(前),,
4202,,英文(前),數A(前),,自然(前),,
4212,國文(均),英文(前),數A(前),,自然(前),,
4222,國文(均),英文(均),數A(均),,自然(均),,
4232,,英文(前),數A(前),,自然(前),,
4242,國文(前),英文(前),,,,,
4262,國文(均),英文(前),數A(前),,自然(均),,
4272,國文(均),英文(前),數A(前),,,,
4282,國文(均),英文(前),,數B(前),,社會(均),
4292,國文(均),英文(前),,數B(均),,,
4302,國文(頂),英文(頂),數A(頂),,自然(頂),,
4312,國文(頂),英文(頂),數A(頂),,自然(頂),,
4322,國文(頂),英文(頂),數A(頂),,自然(頂),,
4332,國文(均),英文(均),數A(均),,自然(均),,
4342,國文(均),英文(均),,,自然(均),,
4352,,英文(前),,,自然(均),,
4362,國文(均),英文(前),,,自然(均),,
4372,國文(均),英文(均),數A(均),,自然(均),,
4382,國文(前),英文(前),,數B(均),,社會(前),
4392,國文(均),英文(均),數A(均),,,,
4402,國文(前),英文(前),,數B(均),,社會(前),
4412,,英文(均),數A(均),,自然(均),,
4422,,英文(均),數A(前),,自然(前),,
4432,,英文(前),數A(前),,自然(前),,英聽(A)
4442,,英文(均),數A(前),,自然(前),,
4452,,英文(前),數A(前),,自然(前),,英聽(A)
4472,國文(均),英文(均),數A(均),,,,
4482,國文(均),英文(均),數A(均),,,,
4492,國文(均),英文(均),數A(均),,自然(均),,
4502,國文(均),英文(均),數A(均),,自然(前),,
4512,國文(均),英文(均),,,自然(前),,
4522,國文(前),英文(前),數A(頂),,,,
4532,國文(均),英文(均),,,,社會(均),
4542,國文(均),英文(均),,數B(均),,,
4552,,英文(均),數A(均),,自然(均),,
4562,,英文(均),數A(均),,自然(均),,
4572,,英文(均),數A(均),,自然(均),,
5012,國文(均),,,,,社會(後),
5022,國文(底),英文(底),,,,社會(底),
5032,國文(後),英文(後),,,,,
5042,國文(均),英文(後),,,,社會(後),
5052,國文(均),英文(後),,,,社會(均),
5062,,,,數B(後),,社會(後),
5072,,,,數B(後),,社會(後),
5082,國文(均),英文(前),,,,,
5092,國文(均),英文(均),,,,社會(後),
5102,國文(均),英文(均),,,,,
5112,,,數A(均),,,,
5122,,,數A(底),,自然(底),,
5132,,,數A(後),,自然(後),,
5142,,英文(後),,,自然(後),,
5152,國文(後),英文(後),數A(後),,,,
5162,國文(前),英文(前),數A(前),數B(前),,社會(均),英聽(B)
5172,,英文(後),,數B(均),,,
5182,國文(均),英文(均),,數B(均),,,
5192,,英文(均),,數B(均),,,
5202,國文(均),英文(前),,數B(均),,,
5212,,英文(後),,數B(均),,,
5222,,英文(均),,數B(均),,,
5232,,英文(均),,數B(均),,,
6012,國文(頂),英文(前),,,,社會(前),
6022,國文(前),英文(前),,,,社會(前),
6032,國文(前),英文(前),,,,,
6042,國文(均),英文(前),,,,,英聽(B)
6052,,英文(均),數A(後),數B(均),,社會(均),
6062,國文(前),英文(前),數A(均),數B(均),,社會(前),
6072,國文(前),英文(前),數A(前),,,,
6082,國文(前),英文(前),數A(均),數B(前),,社會(前),
6092,國文(前),英文(前),數A(前),,,社會(前),
6102,國文(前),英文(前),數A(前),,,社會(前),
6112,國文(前),英文(前),數A(前),,自然(前),,
6122,,英文(前),數A(前),,,,
6132,國文(前),英文(前),,,,社會(前),英聽(B)
6142,國文(前),英文(頂),數A(均),數B(均),,社會(前),
6152,國文(前),英文(前),數A(前),,,,
6162,國文(前),英文(前),數A(前),,,,
6172,國文(前),英文(前),數A(前),,,,
6182,國文(前),英文(前),數A(頂),,,,
6192,國文(前),英文(前),數A(頂),,,,
6202,國文(前),英文(前),數A(前),,,,
6212,國文(前),英文(前),數A(前),,,,
6222,國文(前),英文(前),數A(前),,,,
6232,國文(前),英文(前),數A(前),,,,
6242,國文(前),英文(前),,,,,
6252,,英文(前),數A(前),,,,
6262,國文(前),英文(頂),,,,,英聽(A)
6272,國文(前),英文(頂),,數B(均),,,
6282,國文(前),英文(前),,,,社會(前),
6292,國文(前),英文(頂),,,,社會(前),
6302,國文(前),英文(前),,,,社會(前),
6312,國文(前),英文(前),,,,社會(均),
6322,國文(前),英文(前),,,,社會(前),
6332,國文(前),英文(前),,,,社會(前),
6342,國文(前),英文(前),,,,社會(前),
6352,國文(前),英文(前),,,,社會(前),
6362,國文(前),英文(前),,,,社會(前),
6372,國文(前),英文(前),,,,社會(前),
6382,國文(均),英文(前),,數B(均),,社會(前),
6392,,英文(均),數A(前),,,,
6402,國文(均),英文(均),數A(均),,自然(均),,英聽(B)
6412,,英文(均),數A(前),,自然(均),,
6422,,英文(均),數A(前),,,,
6442,,英文(均),,,,,
6452,國文(均),英文(前),,,,社會(前),英聽(A)
6462,國文(均),英文(均),,,,社會(均),
6472,國文(均),英文(均),數A(均),,,,
7012,國文(前),英文(前),數A(前),,自然(前),,
7022,,英文(均),,,自然(均),,
7032,,英文(均),,,自然(均),,
7042,國文(前),英文(前),數A(前),,自然(前),,
7052,國文(均),英文(後),數A(後),,自然(均),,
7062,國文(前),英文(前),數A(前),,自然(前),,
7072,國文(均),英文(均),數A(均),,自然(均),,
7082,,英文(均),數A(底),,自然(均),,
7092,,英文(均),,,自然(均),,
7102,,英文(均),數A(均),,自然(後),,
7112,,英文(均),數A(均),,,,
7122,國文(均),英文(均),數A(均),數B(均),自然(均),,
7132,,英文(均),數A(均),,自然(均),,
7142,,英文(後),數A(後),,,,
7152,,,,,自然(均),,
7162,,,,,自然(均),,
7172,國文(後),英文(均),數A(後),,自然(均),,
7182,,,,,自然(均),,
7192,,英文(底),,,自然(均),,
7202,,英文(均),,,自然(後),,
7212,國文(均),英文(均),,,,,
7222,國文(均),英文(前),數A(前),,自然(前),,
7232,國文(均),英文(前),數A(前),,自然(前),,
7242,國文(均),英文(前),數A(前),,自然(前),,
7252,國文(均),,,,自然(均),,
7262,,,,,自然(均),,
7272,,英文(均),,,,,
7282,國文(前),英文(前),數A(前),,自然(前),,
8012,,英文(後),數A(後),,,,
8022,,,數A(均),,自然(後),,
8032,,,數A(均),,自然(後),,
8042,,,數A(均),,自然(均),,
8052,,,數A(均),,自然(均),,
8062,國文(後),英文(均),數A(均),,自然(後),,
8072,,英文(後),,,自然(均),,
8082,,英文(後),數A(後),,自然(後),,
8092,,英文(後),數A(後),,自然(後),,
8102,,英文(後),數A(後),,自然(後),,
8112,,,數A(後),,,,
8122,,,,,自然(後),,
8132,,英文(後),數A(後),,自然(後),,
8142,,英文(後),,,,,
8152,,英文(後),數A(均),,,,
8162,國文(後),,,,,,
8172,國文(後),,,,,,
8182,,英文(後),,,,,
8192,,英文(後),,,,,
8202,,英文(均),,,,,
8212,,英文(均),數A(均),,,,
8222,,英文(後),,,,,
8232,國文(均),,,,,,
8242,國文(均),,,,,,
8252,國文(均),,,,,,
8262,,,,,,社會(均),
8272,,,,,,社會(後),
8282,,,,數B(均),,,
8292,,,數A(底),數B(後),,,
8302,國文(均),,,,,,
8312,國文(均),英文(均),,,,,
8322,國文(均),英文(均),,,,,
8332,,英文(均),,,,,
8342,國文(均),英文(均),,,,,
8352,,英文(後),,,,,
8362,,,,,自然(均),,
8372,國文(均),英文(均),數A(後),數B(後),,,
8382,國文(均),英文(後),,數B(後),,,
8392,,英文(均),,,,,
8402,國文(均),英文(後),,,,,
9012,國文(均),,,,,,
9022,,英文(均),,,,,
9032,,,,,,社會(均),
9042,,英文(均),,,,,
9052,國文(均),,,,,,
9062,,英文(後),,,,,
9072,,英文(後),,,自然(後),,
9082,,英文(後),,,自然(後),,
9092,,,,,自然(均),,
9102,,,,,自然(均),,
9112,,,數A(均),,,,
9122,,英文(後),數A(後),,,,
9132,,,數A(後),,自然(後),,
9142,,英文(後),,,自然(後),,
9152,,英文(後),數A(均),,,,
9162,,英文(均),數A(後),,,,
9172,,,,,自然(後),,
9182,,,數A(後),,,,
9202,,,,,自然(後),,
9222,,,數A(後),,自然(後),,
9242,,,數A(後),,,,
9252,,英文(後),,數B(後),,,
9262,,英文(均),,,,,
9272,國文(後),,,數B(後),,,
9282,,英文(均),,數B(後),,,
9292,,,數A(均),,,,
9302,,,,數B(均),,,
9312,,英文(均),,數B(後),,,
9322,,英文(後),,數B(均),,,
9332,,英文(後),,,,,
9342,,英文(後),,,,,
9352,,,,,,社會(均),
9362,,英文(後),,,,社會(均),
9372,,,,,,社會(均),
9382,,,,,,社會(均),
9392,,,,,,社會(後),
9402,,,,,自然(均),,
9412,,,數A(後),數B(後),自然(均),,
9422,,英文(後),,,,,
9432,國文(後),英文(後),,,,,
9442,,,數A(均),數B(均),,,
9452,,英文(均),,,,,
9462,,英文(均),,,,,
9472,國文(後),,,,,,
9482,國文(均),英文(均),數A(後),數B(後),,,
9492,,英文(均),,,,,
9502,,英文(均),,,,,
11012,國文(頂),英文(前),,數B(均),,社會(前),
11022,國文(頂),英文(前),,數B(均),,社會(前),
11032,國文(頂),英文(頂),,數B(均),,社會(頂),英聽(A)
11042,國文(前),英文(前),,數B(均),,社會(前),
11052,國文(前),英文(前),,數B(均),,社會(前),
11062,國文(前),英文(前),,,,社會(前),
11072,國文(均),英文(前),,數B(均),,,
11082,國文(前),英文(前),,,,社會(前),
11092,國文(前),英文(頂),,數B(均),,社會(均),英聽(A)
11102,國文(均),英文(前),,數B(前),,,
11112,國文(前),英文(前),,數B(前),,社會(前),
11122,國文(前),英文(前),數A(前),,,,英聽(B)
11132,國文(前),英文(前),數A(前),,,,
11142,國文(前),英文(前),數A(前),,,,
11152,,英文(均),數A(頂),,自然(前),,
11162,,英文(前),數A(頂),,自然(前),,
11172,國文(均),英文(前),數A(前),,,,
11182,國文(均),英文(前),數A(前),,,,
11192,國文(均),英文(前),數A(前),,,,
11202,,英文(前),數A(前),,自然(前),,
11212,,英文(前),數A(前),,自然(前),,
11222,,英文(前),數A(前),,自然(前),,
11232,國文(均),英文(前),數A(前),,自然(前),,
11242,國文(前),英文(前),數A(前),,自然(前),,
11252,國文(均),英文(前),數A(前),,自然(前),,
