biology,cume,0
100,0,inf
99,0,inf
98,0,inf
97,0.01,99
96,0.03,98
95,0.1,96
94,0.17,95.2222
93,0.37,94.0526
92,0.58,93.2593
91,1.05,92.1837
90,1.8,91.25
89,2.74,90.1429
88,3.78,89.3521
87,5.12,88.494
86,6.65,87.592
85,8.3,86.748
84,9.96,86.0732
83,11.79,85.1709
82,13.83,84.4833
81,15.71,83.8651
80,17.75,82.9538
79,19.8,82.4282
78,21.63,81.9307
77,23.27,81.2208
76,25.07,80.6907
75,27.1,80.2038
74,28.84,79.5973
73,30.78,78.8484
72,32.42,78.4474
71,34.28,77.9877
70,35.88,77.332
69,37.64,76.7589
68,39.34,76.3274
67,41.05,75.8166
66,42.61,75.1354
65,44.08,74.6979
64,45.59,74.3047
63,47.08,73.8609
62,48.76,73.1304
61,50.4,72.6257
60,51.99,72.1816
59,53.56,71.5893
58,55.06,70.9461
57,56.67,70.4641
56,58.32,69.951
55,59.84,69.2059
54,61.31,68.6303
53,62.84,68.0915
52,64.19,67.4263
51,65.67,66.759
50,67.18,66.2158
49,68.87,65.3842
48,70.37,64.6667
47,71.8,64.0854
46,73.29,63.2381
45,74.75,62.5225
44,76.1,61.8633
43,77.31,60.9953
42,78.46,60.4502
41,79.65,59.8017
40,81.04,58.7846
39,82.18,58.2
38,83.36,57.373
37,84.49,56.5849
36,85.62,55.8113
35,86.74,54.8278
34,87.87,54.0795
33,88.94,53.0306
32,90.03,52.094
31,91.05,50.8585
30,91.94,50.0189
29,92.91,48.6471
28,93.78,47.4074
27,94.58,46.2162
26,95.15,44.9839
25,95.83,43.8056
24,96.58,42.1321
23,97.15,40.4565
22,97.67,38.7027
21,98.07,37.4167
20,98.48,35.5625
19,98.74,34.1905
18,99.08,32.2105
17,99.29,30.5333
16,99.51,28.2222
15,99.65,26.4
14,99.77,24.4001
13,99.83,23
12,99.91,20
11,99.93,19
10,99.95,17
9,99.97,15
8,99.98,12
7,99.98,12
6,99.98,12
5,99.98,12
4,99.99,9
3,99.99,9
2,99.99,9
1,99.99,9
0,100,0
chemistry,cume,0
100,0.06,96.5714
99,0.09,96.1429
98,0.14,95.5556
97,0.27,94.5789
96,0.48,93.6296
95,0.78,92.7347
94,1.11,92.0612
93,1.58,91.5
92,2.1,90.9048
91,2.76,90.119
90,3.46,89.5775
89,4.23,89.0352
88,5.04,88.5422
87,5.95,87.9943
86,6.94,87.4253
85,7.97,86.8821
84,9.02,86.4553
83,10.13,86.0041
82,11.41,85.3618
81,12.63,84.848
80,13.94,84.4499
79,15.36,84.0182
78,16.86,83.3302
77,18.28,82.8179
76,19.67,82.4615
75,21,82.1205
74,22.41,81.5931
73,23.96,80.9568
72,25.3,80.6355
71,26.82,80.271
70,28.38,79.8054
69,30.02,79.0633
68,31.66,78.6333
67,33.14,78.2714
66,34.7,77.8156
65,36.3,77.1598
64,37.79,76.7208
63,39.32,76.3325
62,40.83,75.9127
61,42.43,75.214
60,43.84,74.7604
59,45.32,74.375
58,46.77,73.9957
57,48.18,73.3826
56,49.61,72.8464
55,51.06,72.4413
54,52.54,72.0279
53,53.97,71.4062
52,55.33,70.8653
51,56.64,70.4731
50,58.06,70.0479
49,59.36,69.4412
48,60.69,68.8486
47,62.11,68.3486
46,63.42,67.8316
45,64.8,67.1053
44,66.2,66.5683
43,67.56,66.0791
42,68.93,65.3503
41,70.23,64.7236
40,71.56,64.1829
39,72.93,63.4524
38,74.22,62.7613
37,75.48,62.1937
36,76.83,61.3381
35,77.93,60.7014
34,79.24,60.0806
33,80.55,59.0578
32,81.79,58.4
31,83.02,57.6429
30,84.34,56.6792
29,85.62,55.8113
28,86.77,54.8079
27,88,53.9898
26,89.1,52.8889
25,90.11,52.0256
24,91.21,50.7076
23,92.3,49.4769
22,93.24,48.2588
21,94.12,46.8378
20,95.06,45.2
19,95.76,44
18,96.45,42.3774
17,97.13,40.5
16,97.75,38.4865
15,98.25,36.6667
14,98.6,34.8571
13,98.99,32.6842
12,99.21,31.1
11,99.46,28.7778
10,99.68,26.1
9,99.8,23.75
8,99.9,20.5
7,99.97,15
