1112,111,數A,4,數A,11
1112,111,英,3,英,14
1122,106,國,10,國,11
1122,106,英,8,英,11
1122,106,數A+數B,6,數A+數B,11
1122,106,自,3,自,14
1122,107,國,10,國,11
1122,107,英,8,英,12
1122,107,數A+數B,6,數A+數B,13
1122,107,自,3,自,14
1122,108,國,10,國,11
1122,108,英,8,英,10
1122,108,數A+數B,6,數A+數B,9
1122,108,自,3,自,14
1122,109,國,10,國,11
1122,109,英,8,英,11
1122,109,數A+數B,6,數A+數B,13
1122,109,自,3,自,14
1122,110,國,10,國,11
1122,110,英,8,英,10
1122,110,數A+數B,6,數A+數B,10
1122,110,自,3,自,14
1122,111,國,10,國,10
1122,111,英,8,英,8
1122,111,數A,6,數A,7
1122,111,自,3,自,14
1132,106,英+數A+數B+自+社,3,英+數A+數B+自+社,57
1132,107,英+數A+數B+自+社,3,英+數A+數B+自+社,57
1132,108,英+數A+數B+自,3,英+數A+數B+自,44
1132,109,英+數A+數B+自,2.5,英+數A+數B+自,44
1132,110,英+數A+數B+自,2.5,英+數A+數B+自,41
1132,111,英+數A+自,2.5,英+數A+自,40
1142,106,國,6,國,13
1142,106,數A+數B,5,數A+數B,11
1142,106,英,3,英,14
1142,107,國,6,國,14
1142,107,數A+數B,5,數A+數B,12
1142,107,英,3,英,14
1142,108,英+數A+數B+自+社,6,英+數A+數B+自+社,52
1142,108,數A+數B,5,數A+數B,13
1142,108,英,3,英,14
1142,109,英+數A+數B+社,7,英+數A+數B+社,42
1142,109,社,6,社,15
1142,109,數A+數B,5,數A+數B,14
1142,109,英,3,英,14
1142,110,英+數A+數B+社,7,英+數A+數B+社,23
1142,110,社,6,社,11
1142,110,數A+數B,5,數A+數B,8
1142,110,英,3,英,13
1142,111,英+數A+社,7,英+數A+社,36
1142,111,社,6,社,14
1142,111,數A,5,數A,9
1142,111,英,3,英,13
1152,106,國+英+數A+數B+自,3,國+英+數A+數B+自,55
1152,107,國+英+數A+數B+自,3,國+英+數A+數B+自,56
1152,108,國+英+數A+數B+自,3,國+英+數A+數B+自,56
1152,109,國+英+數A+數B+自,3,國+英+數A+數B+自,57
1152,110,國+英+數A+數B+自,3,國+英+數A+數B+自,52
1152,111,國+英+數A+自,3,國+英+數A+自,51
1162,106,國+社,5,國+社,29
1162,106,英,3,英,15
1162,107,國+社,5,國+社,28
1162,107,英,3,英,15
1162,108,國+社,5,國+社,29
1162,108,英,3,英,15
1162,109,國+社,5,國+社,29
1162,109,英,3,英,15
1162,110,國+社,5,國+社,29
1162,110,英,3,英,14
