university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0,0
高雄醫學大學,醫學系(公費),110,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,81.85,80.0055
慈濟大學,醫學系(公費),110,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,81.82,79.9852
中山醫學大學,牙醫學系,110,1,1,1,NULL,NULL,1,1.25,NULL,NULL,NULL,82.8343,79.9825
國立臺灣大學,藥學系,110,NULL,1,1,NULL,1,1.5,1,NULL,NULL,NULL,82.1,79.8072
輔仁大學,醫學系(公費),110,NULL,1.25,1,NULL,1,1,1.25,NULL,NULL,NULL,82.3091,79.7494
義守大學,醫學系(公費生),110,NULL,1.5,1,NULL,1,1,1.5,NULL,NULL,NULL,82.8833,79.6803
國立臺灣大學,公共衛生學系B組,110,1,1.25,NULL,1.25,NULL,NULL,NULL,NULL,NULL,1,83.9067,79.6147
國立清華大學,電機資訊學院學士班乙組,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.63,79.5905
國立陽明大學,藥學系,110,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,81.16,79.5367
國立清華大學,資訊工程學系甲組(電子資訊組),110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.52,79.5042
國立臺灣大學,歷史學系,110,1,1,NULL,NULL,NULL,NULL,NULL,1,1,1,83.14,79.5012
國立臺灣大學,材料科學與工程學系,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.43,79.4337
國立清華大學,材料科學工程學系甲組,110,1,1.5,1,NULL,1.5,1.5,NULL,NULL,NULL,NULL,80.1969,79.2895
國立成功大學,藥學系,110,1,1,1,NULL,NULL,1.25,1,NULL,NULL,NULL,81.8286,79.2504
國立臺灣大學,資訊管理學系,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.98,79.0835
國立交通大學,資訊管理與財務金融學系資訊管理組,110,1,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81.98,78.9105
國立臺灣大學,政治學系公共行政組,110,1.25,1.25,NULL,1,NULL,NULL,NULL,1,1,NULL,84.4255,78.9073
國立臺灣大學,人類學系,110,1,1.5,NULL,NULL,NULL,NULL,NULL,1,1,1,83.1964,78.8913
國立臺灣大學,外國語文學系,110,1.25,2,NULL,1,NULL,NULL,NULL,1,1,NULL,85.008,78.8844
國立臺灣大學,社會學系,110,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1,82.944,78.8788
國立臺灣大學,獸醫學系,110,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,80.99,78.7554
國立臺北教育大學,音樂學系,110,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,80.6175,78.7231
國立臺灣大學,物理治療學系,110,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,79.91,78.7049
國立政治大學,國際經營與貿易學系,110,1.5,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,85.3818,78.5997
國立交通大學,資訊工程學系乙組,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78,78.448
臺北醫學大學,藥學系臨床藥學組,110,1,1.25,1,NULL,NULL,1.25,1.5,NULL,NULL,NULL,81.5717,78.4462
國立交通大學,材料科學與工程學系甲組,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.9,78.3833
國立清華大學,資訊工程學系丙組(人工智慧組),110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.8,78.3187
國立成功大學,資訊工程學系(普渡雙聯組),110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,77.75,78.2864
國立臺灣大學,政治學系政治理論組,110,1.25,1.25,NULL,1,NULL,NULL,NULL,1,1,NULL,83.7473,78.2409
國立交通大學,電機工程學系乙組,110,1,1.5,2,NULL,2,1,NULL,NULL,NULL,NULL,77.384,78.1345
國立政治大學,法律學系,110,1,2,NULL,1,NULL,NULL,NULL,1,NULL,1,83.4833,78.1254
國立臺灣大學,地理環境資源學系B組,110,1,1,NULL,1,NULL,NULL,NULL,1,1,NULL,83.31,78.0167
國立臺灣大學,日本語文學系,110,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,83.45,77.9934
臺北醫學大學,藥學系藥學組,110,1,1.25,1,NULL,NULL,1.25,1.5,NULL,NULL,NULL,80.89,77.9057
國立清華大學,電機工程學系乙組,110,1,1.5,1.5,NULL,1.5,1,NULL,NULL,NULL,NULL,77.3231,77.8446
國立臺灣大學,物理學系,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,76.99,77.7945
國立臺灣大學,生化科技學系,110,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,78.64,77.7906
國立臺灣大學,生物產業傳播暨發展學系,110,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,1,NULL,83.1969,77.752
中國醫藥大學,藥學系,110,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,79.64,77.7161
國立臺灣大學,數學系,110,NULL,1,1.5,NULL,1,1,NULL,NULL,NULL,NULL,76.8,77.6149
國立清華大學,資訊工程學系乙組(資訊工程組),110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,76.66,77.5588
國立政治大學,會計學系,110,1.5,2,NULL,2,NULL,NULL,NULL,1,1,NULL,83.72,77.527
高雄醫學大學,藥學系,110,1,1,NULL,NULL,1,1.25,1.25,NULL,NULL,NULL,79.8364,77.4692
國立政治大學,資訊管理學系社會組,110,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,84.5,77.4011
國立臺灣大學,圖書資訊學系,110,1.25,1.25,NULL,1,NULL,NULL,NULL,1,NULL,1,81.5691,77.3994
國立政治大學,企業管理學系,110,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,84.38,77.2877
國立政治大學,經濟學系,110,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,83.9444,77.2446
國立臺灣大學,醫學工程學系,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,76.18,77.2161
國立臺灣大學,職能治療學系,110,1.25,1.5,1,NULL,NULL,NULL,1,NULL,NULL,NULL,80.4589,77.211
國立臺灣大學,哲學系,110,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1,81.11,77.1962
國立政治大學,統計學系社會組,110,1.5,1.5,NULL,2,NULL,NULL,NULL,1,1,NULL,82.8357,77.1845
國立政治大學,財政學系,110,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,83.1875,77.1274
國立臺灣師範大學,教育心理與輔導學系,110,1,1.25,NULL,1.25,NULL,NULL,NULL,1,NULL,1,81.52,77.1194
國立政治大學,風險管理與保險學系,110,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,83.1575,77.1094
國立交通大學,材料科學與工程學系乙組,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,76.02,77.1018
國立成功大學,電機工程學系,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,76.02,77.1018
國立成功大學,機械工程學系(普渡雙聯組),110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,76,77.0875
國立臺灣大學,中國文學系,110,1.5,1.25,NULL,1,NULL,NULL,NULL,1.25,1,NULL,82.4133,77.029
國立臺灣大學,社會工作學系,110,1.25,1.25,NULL,1,NULL,NULL,NULL,1,NULL,1,81.0345,76.997
國立臺北大學,法律學系財經法組,110,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,NULL,1,81.3508,76.9829
國立臺灣大學,化學工程學系,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,75.78,76.9498
國立清華大學,經濟學系第2組,110,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,84.02,76.9473
