score,cume
100,0
99,0
98,0
97,0.01
96,0.04
95,0.12
94,0.25
93,0.46
92,0.79
91,1.4
90,2.14
89,2.97
88,4.11
87,5.53
86,7.07
85,8.35
84,10.01
83,11.88
82,13.75
81,15.63
80,17.51
79,19.37
78,21.29
77,23.22
76,24.97
75,26.78
74,28.47
73,30.25
72,31.88
71,33.6
70,35.27
69,36.91
68,38.55
67,39.94
66,41.45
65,43.08
64,44.61
63,46.01
62,47.34
61,49.01
60,50.58
59,52.13
58,53.63
57,55.08
56,56.53
55,58.11
54,59.64
53,61
52,62.31
51,63.56
50,64.97
49,66.44
48,67.88
47,69.36
46,70.81
45,72.28
44,73.5
43,74.83
42,76.25
41,77.63
40,78.97
39,80.23
38,81.44
37,82.78
36,84.14
35,85.52
34,86.55
33,87.75
32,88.78
31,89.87
30,90.81
29,91.9
28,92.75
27,93.76
26,94.7
25,95.42
24,96.11
23,96.81
22,97.42
21,97.87
20,98.35
19,98.72
18,98.99
17,99.22
16,99.44
15,99.62
14,99.77
13,99.85
12,99.89
11,99.94
10,99.95
9,99.95
8,99.96
7,99.96
6,99.97
5,99.97
4,99.97
3,99.97
2,99.97
1,99.97
0,100
score,cume
100,0.01
99,0.02
98,0.05
97,0.12
96,0.16
95,0.3
94,0.44
93,0.63
92,0.92
91,1.18
90,1.64
89,2.2
88,2.77
87,3.51
86,4.23
85,5.05
84,6.18
83,7.32
82,8.45
81,9.72
80,10.97
79,12.23
78,13.74
77,15.22
76,16.69
75,18.09
74,19.59
73,21.08
72,22.57
71,24.2
70,25.68
69,27.15
68,28.49
67,29.95
66,31.3
65,32.67
64,34.09
63,35.48
62,36.91
61,38.25
60,39.67
59,40.91
58,42.17
57,43.46
56,44.8
55,46.1
54,47.2
53,48.29
52,49.53
51,50.83
50,52.03
49,53.29
48,54.48
47,55.73
46,56.91
45,57.9
44,59.09
43,60.35
42,61.52
41,62.62
40,63.68
39,64.93
38,66
37,67.11
36,68.38
35,69.61
34,70.8
33,71.96
