university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
中原大學,物理學系光電與材料科學組,110,NULL,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,31.9111
中原大學,物理學系物理組,110,NULL,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,34.4556
中原大學,特殊教育學系,110,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,NULL,NULL,50.1145
中原大學,環境工程學系,110,2,1.5,1,NULL,1,2,NULL,NULL,NULL,NULL,39.3467
中原大學,生物科技學系,110,NULL,1.75,NULL,NULL,NULL,2,2,NULL,NULL,NULL,40.5757
中原大學,生物醫學工程學系,110,NULL,1,2,NULL,2,1.75,NULL,NULL,NULL,NULL,32.9304
中原大學,財務金融學系,110,1.75,2,NULL,2,NULL,NULL,NULL,1,1,NULL,60.4903
中原大學,財經法律學系,110,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,NULL,1,64.0308
中原大學,資訊工程學系,110,1,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,52.925
中原大學,資訊管理學系,110,1.75,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,60.4696
中原大學,電子工程學系,110,NULL,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,45.0833
中原大學,電機工程學系,110,NULL,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,50.15
中原大學,電機資訊學院學士班,110,NULL,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,46.8667
中國文化大學,中國文學系中國文學組,110,2,2,NULL,NULL,NULL,NULL,NULL,2,1,NULL,26.9714
中國文化大學,中國文學系文藝創作組,110,2,2,NULL,NULL,NULL,NULL,NULL,2,1,NULL,27.1714
中國文化大學,俄國語文學系,110,2,2,NULL,NULL,NULL,NULL,NULL,1,1,NULL,28.2667
中國文化大學,保健營養學系,110,2,1,NULL,NULL,NULL,2,2,NULL,NULL,NULL,27.9429
中國文化大學,光電物理學系,110,1,1,1.5,NULL,2,1,NULL,NULL,NULL,NULL,21.1846
中國文化大學,全球商務學士學位學程,110,1,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,24.925
中國文化大學,動物科學系,110,1,2,NULL,NULL,NULL,2,2,NULL,NULL,NULL,23.7429
中國文化大學,勞動暨人力資源學系,110,2,1.5,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,27.8182
中國文化大學,化學工程與材料工程學系,110,2,1,2,NULL,1,2,NULL,NULL,NULL,NULL,18.6
中國文化大學,化學系,110,1.5,1,1.5,NULL,1,2,NULL,NULL,NULL,NULL,19.3714
中國文化大學,史學系,110,2,2,NULL,NULL,NULL,NULL,NULL,2,1,1,26.65
中國文化大學,哲學系,110,2,1.5,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,38.5273
中國文化大學,國際企業管理學系,110,2,1,NULL,1,NULL,NULL,NULL,1,1,NULL,26.45
中國文化大學,國際貿易學系,110,2,2,NULL,1,NULL,NULL,NULL,1,1,NULL,24.8286
中國文化大學,園藝暨生物技術學系,110,1,1.5,NULL,NULL,NULL,1.5,2,NULL,NULL,NULL,19.4
中國文化大學,土地資源學系A組,110,2,1,NULL,1,NULL,NULL,NULL,2,2,NULL,34.45
中國文化大學,土地資源學系B組,110,2,2,1,NULL,1,2,NULL,NULL,NULL,NULL,17.45
中國文化大學,地理學系A組,110,1,1,2,NULL,2,1,NULL,NULL,NULL,NULL,20.3286
中國文化大學,地理學系B組,110,1,1,NULL,2,NULL,NULL,NULL,1,2,NULL,37
中國文化大學,地質學系,110,1,1.5,1,NULL,1.75,2,NULL,NULL,NULL,NULL,15.3034
中國文化大學,大氣科學系,110,1,1.5,2,NULL,1.5,1,NULL,NULL,NULL,NULL,15.4
中國文化大學,大眾傳播學系,110,2,1,NULL,1,NULL,NULL,NULL,2,NULL,2,42.275
中國文化大學,廣告學系A組,110,2,2,NULL,1,NULL,NULL,NULL,NULL,NULL,1,34.9833
中國文化大學,廣告學系B組,110,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,38.5667
中國文化大學,建築及都市設計學系,110,2,2,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,32.8545
中國文化大學,心理輔導學系,110,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.75,41.9478
中國文化大學,應用數學系,110,2,1.5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6455
中國文化大學,戲劇學系,110,2,1,NULL,NULL,NULL,NULL,NULL,1,1,NULL,56.34
中國文化大學,政治學系,110,1.5,1,NULL,NULL,NULL,NULL,NULL,1.5,NULL,NULL,37.6625
中國文化大學,教育學系,110,2,1.5,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,37.5091
中國文化大學,新聞學系,110,2,2,NULL,1,NULL,NULL,NULL,1,NULL,2,25.9875
中國文化大學,日本語文學系,110,2,1.5,NULL,NULL,NULL,NULL,NULL,2,1,NULL,39.6615
中國文化大學,景觀學系,110,2,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,29.2
中國文化大學,會計學系,110,2,2,NULL,1,NULL,NULL,NULL,2,1,NULL,38.175
中國文化大學,森林暨自然保育學系,110,2,1,NULL,NULL,NULL,NULL,NULL,2,2,NULL,31.9043
中國文化大學,機械工程學系,110,2,1,2,NULL,2,1,NULL,NULL,NULL,NULL,21.725
中國文化大學,法國語文學系,110,2,2,NULL,NULL,NULL,NULL,NULL,1,1,NULL,25.1333
中國文化大學,法律學系企業金融法制組,110,1.5,1.5,NULL,NULL,NULL,NULL,NULL,1,1,1,42.8467
中國文化大學,法律學系法學組,110,1.5,1.5,NULL,NULL,NULL,NULL,NULL,1,1,1,52.9583
中國文化大學,法律學系財經法律組,110,1.5,1.5,NULL,NULL,NULL,NULL,NULL,1,1,1,45.1333
中國文化大學,生命科學系,110,1,1.5,1,NULL,NULL,1.5,2,NULL,NULL,NULL,24.0143
中國文化大學,生活應用科學系,110,2,1,NULL,1,NULL,NULL,NULL,2,2,NULL,28.625
中國文化大學,社會福利學系,110,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,NULL,1,27.0585
