001112,108,數A+數B(4),數A+數B(14)
001112,108,英(3),英(14)
001112,109,自(5),自(14)
001112,109,數A+數B(4),數A+數B(15)
001112,109,英(3),英(14)
001112,110,自(5),自(14)
001112,110,數A+數B(4),數A+數B(12)
001112,110,英(3),英(14)
001112,111,自(5),自(14)
001112,111,數A(4),數A(11)
001112,111,英(3),英(14)
001122,106,國(10),國(11)
001122,106,英(8),英(11)
001122,106,數A+數B(6),數A+數B(11)
001122,106,自(3),自(14)
001122,107,國(10),國(11)
001122,107,英(8),英(12)
001122,107,數A+數B(6),數A+數B(13)
001122,107,自(3),自(14)
001122,108,國(10),國(11)
001122,108,英(8),英(10)
001122,108,數A+數B(6),數A+數B(9)
001122,108,自(3),自(14)
001122,109,國(10),國(11)
001122,109,英(8),英(11)
001122,109,數A+數B(6),數A+數B(13)
001122,109,自(3),自(14)
001122,110,國(10),國(11)
001122,110,英(8),英(10)
001122,110,數A+數B(6),數A+數B(10)
001122,110,自(3),自(14)
001122,111,國(10),國(10)
001122,111,英(8),英(8)
001122,111,數A(6),數A(7)
001122,111,自(3),自(14)
001132,106,英+數A+數B+自+社(3),英+數A+數B+自+社(57)
001132,107,英+數A+數B+自+社(3),英+數A+數B+自+社(57)
001132,108,英+數A+數B+自(3),英+數A+數B+自(44)
001132,109,英+數A+數B+自(2.5),英+數A+數B+自(44)
001132,110,英+數A+數B+自(2.5),英+數A+數B+自(41)
001132,111,英+數A+自(2.5),英+數A+自(40)
001142,106,國(6),國(13)
001142,106,數A+數B(5),數A+數B(11)
001142,106,英(3),英(14)
001142,107,國(6),國(14)
001142,107,數A+數B(5),數A+數B(12)
001142,107,英(3),英(14)
001142,108,英+數A+數B+自+社(6),英+數A+數B+自+社(52)
001142,108,數A+數B(5),數A+數B(13)
001142,108,英(3),英(14)
001142,109,英+數A+數B+社(7),英+數A+數B+社(42)
001142,109,社(6),社(15)
001142,109,數A+數B(5),數A+數B(14)
001142,109,英(3),英(14)
001142,110,英+數A+數B+社(7),英+數A+數B+社(23)
001142,110,社(6),社(11)
001142,110,數A+數B(5),數A+數B(8)
001142,110,英(3),英(13)
001142,111,英+數A+社(7),英+數A+社(36)
001142,111,社(6),社(14)
001142,111,數A(5),數A(9)
001142,111,英(3),英(13)
001152,106,國+英+數A+數B+自(3),國+英+數A+數B+自(55)
