score,cume
33,80.55
32,81.79
31,83.02
30,84.34
29,85.62
28,86.77
27,88
26,89.1
25,90.11
24,91.21
23,92.3
22,93.24
21,94.12
20,95.06
19,95.76
18,96.45
17,97.13
16,97.75
15,98.25
14,98.6
13,98.99
12,99.21
11,99.46
10,99.68
9,99.8
8,99.9
7,99.97
6,99.97
5,99.98
4,99.99
3,99.99
2,99.99
1,99.99
0,100
score,cume
100,0.01
99,0.01
98,0.03
97,0.03
96,0.1
95,0.19
94,0.38
93,0.65
92,1.14
91,2.02
90,2.86
89,4.28
88,5.94
87,7.68
86,10.14
85,12.13
84,15.42
83,17.57
82,21.47
81,23.78
80,27.95
79,30.16
78,34.25
77,36.69
76,40.63
75,42.92
74,46.76
73,49.06
72,52.64
71,54.88
70,58.22
69,60.26
68,63.1
67,65
66,67.78
65,69.55
64,72.01
63,73.69
62,75.91
61,77.3
60,79.41
59,80.62
58,82.57
57,83.83
56,85.42
55,86.48
54,87.99
53,88.97
52,90.14
51,90.9
50,91.96
49,92.61
48,93.46
47,94
46,94.74
45,95.14
44,95.76
43,96.12
42,96.65
41,96.9
40,97.36
39,97.56
38,97.93
37,98.17
36,98.41
35,98.57
34,98.78
33,98.93
32,99.12
31,99.22
30,99.37
29,99.44
28,99.53
27,99.59
26,99.69
25,99.74
24,99.79
23,99.83
22,99.86
21,99.89
20,99.91
19,99.93
18,99.94
17,99.95
16,99.96
15,99.97
14,99.97
13,99.97
12,99.98
11,99.98
10,99.98
9,99.99
8,99.99
7,99.99
6,99.99
5,99.99
4,99.99
3,99.99
2,99.99
1,99.99
0,100
score,cume
100,0
99,0
98,0
97,0.01
96,0.04
95,0.08
94,0.21
93,0.4
92,0.67
91,1.05
90,1.55
89,2.26
88,3.05
87,4.06
86,5.17
85,6.46
84,7.75
83,9.14
82,10.47
81,11.95
80,13.46
79,14.94
78,16.47
77,17.93
76,19.49
75,21.12
74,22.76
73,24.25
72,25.69
71,27.25
70,28.82
69,30.2
68,31.56
67,32.92
66,34.38
65,35.61
64,36.89
63,38.25
62,39.52
61,40.86
60,42.11
59,43.3
58,44.52
57,45.77
56,46.92
55,48.16
54,49.32
53,50.59
52,51.77
51,52.87
50,54.01
49,55.16
48,56.23
47,57.36
46,58.57
45,59.7
44,60.8
43,61.97
42,63.08
41,64.23
40,65.31
39,66.45
38,67.6
37,68.72
36,69.85
35,71
34,72.24
33,73.43
32,74.59
31,75.86
30,77.09
29,78.43
28,79.78
27,81.16
26,82.56
25,83.95
24,85.27
23,86.76
22,88.17
21,89.5
20,90.79
19,92.16
18,93.53
17,94.76
16,95.87
15,96.84
14,97.65
13,98.33
12,98.84
11,99.26
10,99.55
9,99.74
8,99.86
7,99.93
6,99.97
5,99.99
4,99.99
3,99.99
2,99.99
1,100
0,100
score,cume
100,0
99,0
98,0
97,0.01
96,0.06
95,0.07
94,0.17
93,0.24
92,0.39
91,0.53
90,0.91
89,1.11
88,1.61
87,1.87
86,2.81
85,3.23
84,4.46
83,5.01
82,6.5
81,7.06
80,8.99
79,9.61
78,11.81
77,12.53
76,15.1
75,15.83
74,18.51
73,19.19
72,22.17
71,22.81
70,26
69,26.55
68,30.04
67,30.58
66,34.08
65,34.56
64,38.16
63,38.64
62,42.31
61,42.77
60,46.55
59,46.86
58,50.54
57,50.86
56,54.61
55,54.89
54,58.33
53,58.59
52,62.34
51,62.6
50,66.32
49,66.47
48,69.95
47,70.1
46,73.48
45,73.59
44,76.95
43,77.04
42,80.15
41,80.24
40,83.07
39,83.11
38,85.74
37,85.76
36,88.39
35,88.44
34,90.57
33,90.59
32,92.66
31,92.67
30,94.2
29,94.2
28,95.59
27,95.59
26,96.72
25,96.73
24,97.63
23,97.63
22,98.41
21,98.41
20,99.01
19,99.01
18,99.41
17,99.41
16,99.72
15,99.72
14,99.87
13,99.87
12,99.93
11,99.93
10,99.98
9,99.98
8,99.98
7,99.98
6,99.99
5,99.99
4,100
3,100
2,100
1,100
0,100
score,cume
100,0
99,0
98,0
97,0
96,0.01
95,0.02
94,0.03
93,0.06
92,0.07
91,0.1
90,0.15
89,0.26
88,0.36
87,0.57
86,0.76
85,1.04
84,1.41
83,1.89
82,2.42
81,3
80,3.69
79,4.53
78,5.56
77,6.65
76,8.02
75,9.52
74,11.13
73,12.95
72,14.71
71,16.65
70,18.82
69,21.1
68,23.42
67,26.05
66,28.64
65,31.21
64,33.88
63,36.66
62,39.3
61,42.2
60,44.98
59,47.73
58,50.4
57,53.25
56,55.88
55,58.65
54,61.29
53,64.09
52,66.38
51,68.88
50,71.22
49,73.37
48,75.43
47,77.48
46,79.27
45,81
44,82.81
43,84.41
42,85.74
41,87.09
40,88.46
39,89.55
38,90.73
37,91.78
36,92.66
35,93.47
34,94.24
33,94.91
32,95.44
31,95.98
30,96.56
29,97
28,97.42
27,97.85
26,98.16
25,98.5
24,98.77
23,99.06
22,99.27
21,99.44
20,99.59
19,99.7
18,99.79
17,99.88
16,99.92
15,99.93
14,99.95
13,99.97
12,99.98
11,99.98
10,100
9,100
8,100
7,100
6,100
5,100
4,100
3,100
2,100
1,100
0,100
score,cume
100,0.01
99,0.01
98,0.03
97,0.03
96,0.07
95,0.07
94,0.16
93,0.17
92,0.24
91,0.29
90,0.42
89,0.5
88,0.71
87,0.77
86,1.04
85,1.22
84,1.54
83,1.75
82,2.11
81,2.36
80,2.77
79,3.18
78,3.76
77,4.16
76,4.88
75,5.39
74,6.07
73,6.81
72,7.69
71,8.39
70,9.44
69,10.28
68,11.28
67,12.41
66,13.62
65,14.6
64,16.15
63,17.19
62,18.67
61,19.94
60,21.61
59,22.83
58,24.65
57,25.76
56,27.65
55,29.1
54,30.97
53,32.72
52,34.73
51,36.07
50,38.34
49,39.63
48,41.88
47,43.36
46,45.14
45,46.7
44,48.82
43,50.07
42,52.33
41,53.7
40,55.87
39,57.42
38,59.23
37,60.63
36,62.76
35,63.78
34,65.85
33,67.27
32,68.93
31,70.4
30,72.12
29,73.14
28,74.98
27,76.06
26,77.76
25,78.98
24,80.45
23,81.68
22,83.12
21,84.11
20,85.73
19,86.55
18,88.03
17,89.13
16,90.22
15,91.47
14,92.71
13,93.39
12,94.63
11,95.23
10,95.9
9,96.91
8,97.39
7,97.94
6,98.63
5,98.7
4,99.07
3,99.44
2,99.47
1,99.83
0,100
score,cume
100,1.29
99,1.29
98,1.39
97,1.4
96,3.1
95,3.21
94,3.68
93,5.12
92,6.07
91,6.34
90,7.7
89,8.48
88,9.65
87,10.76
86,11.49
85,13.08
84,14.22
83,14.9
82,16.64
81,17.67
80,18.75
79,20.58
78,21.37
77,22.83
76,24.54
75,25.34
74,26.96
73,28.3
72,29.22
71,30.88
70,31.87
69,33.12
68,34.82
67,35.62
66,37.12
65,38.59
64,39.41
63,40.87
62,41.8
61,42.93
60,44.37
59,45.28
58,46.5
57,47.7
56,48.59
55,50.04
54,51.01
53,52.14
52,53.51
51,54.42
50,55.59
49,56.8
48,57.68
47,59.01
46,60.03
45,60.99
44,62.22
43,63.02
42,64.24
41,65.36
40,66.27
39,67.64
38,68.73
37,69.83
36,71.13
35,71.78
34,72.97
33,73.93
32,74.82
31,76.14
30,77.34
29,77.97
28,79.41
27,79.96
26,81.14
25,82.3
24,83.17
23,84.3
22,85.49
21,86.08
20,87.49
19,88.09
18,89.11
17,90.2
16,90.9
15,91.96
14,93.12
13,93.34
12,94.54
11,95.24
10,95.91
9,96.96
8,97.49
7,97.83
6,98.46
5,98.5
4,99.03
3,99.48
2,99.48
1,99.83
0,100
score,cume
100,0
99,0.02
98,0.05
97,0.11
96,0.17
95,0.27
94,0.36
93,0.57
92,0.78
91,1.01
90,1.29
89,1.56
88,1.93
87,2.37
86,2.92
85,3.54
84,4.24
83,4.99
82,5.72
81,6.53
80,7.4
79,8.29
78,9.27
77,10.38
76,11.5
75,12.73
74,13.9
73,15.09
72,16.36
71,17.7
70,19.25
69,20.68
68,22.14
67,23.51
66,24.94
65,26.46
64,28.06
63,29.67
62,31.09
61,32.68
60,34.05
59,35.65
58,37.16
57,38.77
56,40.35
55,41.96
54,43.67
53,45.21
52,46.65
51,48.11
50,49.57
49,51.02
48,52.67
47,54.25
46,55.98
45,57.61
44,59.32
43,60.93
42,62.73
41,64.43
40,66.27
39,67.88
38,69.82
37,71.79
36,73.7
35,75.44
34,77.45
33,79.55
32,81.38
31,83.15
30,84.78
29,86.39
28,88.05
27,89.6
26,91.04
25,92.31
24,93.54
23,94.63
22,95.75
21,96.63
20,97.35
19,97.96
18,98.4
17,98.81
16,99.2
15,99.4
14,99.55
13,99.68
12,99.79
11,99.87
10,99.92
9,99.94
8,99.95
7,99.97
6,99.97
5,99.97
4,99.97
3,100
2,100
1,100
0,100
score,cume
100,0.01
99,0.01
98,0.01
97,0.04
96,0.07
95,0.15
94,0.36
93,0.46
92,0.73
91,1.08
90,1.64
89,2.14
88,3.14
87,3.82
86,5.16
85,6.19
84,8.07
83,9.42
82,11.51
81,13
80,15.47
79,17.34
78,20.12
77,22.05
76,25
75,26.94
74,30.16
73,32.25
72,35.24
71,37.17
70,40.42
69,42.59
68,45.82
67,47.88
66,51.14
65,52.93
64,55.86
63,57.93
62,60.91
61,62.82
60,65.59
59,67.31
58,69.95
57,71.77
56,74.29
55,75.96
54,78.26
53,79.79
52,81.88
51,83.09
50,84.93
49,86.14
48,87.82
47,88.76
46,90.01
45,90.91
44,92.06
43,92.76
42,93.78
41,94.45
40,95.28
39,95.81
38,96.45
37,96.87
36,97.39
35,97.67
34,98.01
33,98.25
32,98.5
31,98.69
30,98.89
29,99.01
28,99.22
27,99.32
26,99.45
25,99.55
24,99.65
23,99.73
22,99.81
21,99.85
20,99.9
19,99.93
18,99.95
17,99.97
16,99.98
15,99.98
14,99.99
13,99.99
12,100
11,100
10,100
9,100
8,100
7,100
6,100
5,100
4,100
3,100
2,100
1,100
0,100
