score,cume
100,0
99,0
98,0
97,0.01
96,0.03
95,0.1
94,0.17
93,0.37
92,0.58
91,1.05
90,1.8
89,2.74
88,3.78
87,5.12
86,6.65
85,8.3
84,9.96
83,11.79
82,13.83
81,15.71
80,17.75
79,19.8
78,21.63
77,23.27
76,25.07
75,27.1
74,28.84
73,30.78
72,32.42
71,34.28
70,35.88
69,37.64
68,39.34
67,41.05
66,42.61
65,44.08
64,45.59
63,47.08
62,48.76
61,50.4
60,51.99
59,53.56
58,55.06
57,56.67
56,58.32
55,59.84
54,61.31
53,62.84
52,64.19
51,65.67
50,67.18
49,68.87
48,70.37
47,71.8
46,73.29
45,74.75
44,76.1
43,77.31
42,78.46
41,79.65
40,81.04
39,82.18
38,83.36
37,84.49
36,85.62
35,86.74
34,87.87
33,88.94
32,90.03
31,91.05
30,91.94
29,92.91
28,93.78
27,94.58
26,95.15
25,95.83
24,96.58
23,97.15
22,97.67
21,98.07
20,98.48
19,98.74
18,99.08
17,99.29
16,99.51
15,99.65
14,99.77
13,99.83
12,99.91
11,99.93
10,99.95
9,99.97
8,99.98
7,99.98
6,99.98
5,99.98
4,99.99
3,99.99
2,99.99
1,99.99
0,100
score,cume
100,0.06
99,0.09
98,0.14
97,0.27
96,0.48
95,0.78
94,1.11
93,1.58
92,2.1
91,2.76
90,3.46
89,4.23
88,5.04
87,5.95
86,6.94
85,7.97
84,9.02
83,10.13
82,11.41
81,12.63
80,13.94
79,15.36
78,16.86
77,18.28
76,19.67
75,21
74,22.41
73,23.96
72,25.3
71,26.82
70,28.38
69,30.02
68,31.66
67,33.14
66,34.7
65,36.3
64,37.79
63,39.32
62,40.83
61,42.43
60,43.84
59,45.32
58,46.77
57,48.18
56,49.61
55,51.06
54,52.54
53,53.97
52,55.33
51,56.64
50,58.06
49,59.36
48,60.69
47,62.11
46,63.42
45,64.8
44,66.2
43,67.56
42,68.93
41,70.23
40,71.56
39,72.93
38,74.22
37,75.48
36,76.83
35,77.93
34,79.24
