university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
國立彰化師範大學,輔導諮商系校輔事務組(公費),100,1.75,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,1,97.0696,89.9335
國立臺灣師範大學,國文學系(公費),100,2,1.5,NULL,NULL,NULL,NULL,NULL,NULL,1,1,86.54,82.7441
國立臺灣大學,財務金融學系,100,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,91.1889,80.0033
國立臺灣大學,醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,89.4,79.9238
國立臺中教育大學,英語學系(公費)-臺中市,100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1,84.78,79.785
國立臺灣大學,法律學系財經法學組,100,1,1,NULL,1,NULL,NULL,NULL,NULL,1,1,85.1833,79.2708
國立陽明大學,醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,88.4833,79.1914
國立臺中教育大學,英語學系(公費)-南投縣,100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1,84.028,79.015
國立新竹教育大學,音樂學系(公費),100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,84.145,78.9241
國立嘉義大學,教育學系(公費)社會學習領域,100,2,1.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.75,82.956,78.7277
國立臺灣大學,國際企業學系,100,1,2,NULL,2,NULL,NULL,NULL,NULL,1,1,86.6571,78.7045
國立成功大學,醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,87.75,78.6284
國立臺灣大學,經濟學系,100,1.5,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,87.83,78.4699
國立臺灣大學,工商管理學系企管組英文專班,100,1,2,NULL,2,NULL,NULL,NULL,NULL,1,1,86.2857,78.3415
國立臺灣大學,牙醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,87.3167,78.3303
國立臺灣大學,工商管理學系企業管理組,100,1,2,NULL,2,NULL,NULL,NULL,NULL,1,1,86.2286,78.2857
國立臺灣大學,法律學系法學組,100,1,1,NULL,1,NULL,NULL,NULL,NULL,1,1,83.75,77.9742
國立臺灣大學,電機工程學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,86.62,77.8208
國立臺灣大學,物理學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,86.6,77.8055
國立臺灣大學,法律學系司法組,100,1,1,NULL,1,NULL,NULL,NULL,NULL,1,1,83.25,77.6387
國立臺灣大學,會計學系,100,1.25,2,NULL,1.25,NULL,NULL,NULL,NULL,1,1,84.0923,77.6191
國立政治大學,財務管理學系,100,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,88.1,77.614
國立彰化師範大學,特殊教育學系(公費),100,1.5,1.5,NULL,1,NULL,NULL,NULL,NULL,1,1,82.85,77.495
國立臺灣大學,材料科學與工程學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,86.14,77.4525
臺北醫學大學,醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,86.0167,77.3579
國立臺中教育大學,音樂學系(公費),100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,82.425,77.3534
國立政治大學,金融學系,100,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,87.7,77.3484
長庚大學,醫學系,100,1,1.25,1,NULL,1.25,1.25,NULL,NULL,NULL,NULL,86.16,77.2725
國立臺中教育大學,英語學系(公費)-雲林縣,100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1,81.9,77.1911
國立臺灣大學,政治學系國際關係組,100,1.25,1.25,NULL,1,NULL,NULL,NULL,NULL,1,1,82.4727,77.056
國立政治大學,國際經營與貿易學系,100,1.5,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,85.7727,76.8929
國立高雄師範大學,數學系數學組(公費),100,1,1.25,2,NULL,1.25,NULL,NULL,NULL,NULL,NULL,86.9418,76.8875
國立交通大學,資訊與財金管理學系,100,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,86.98,76.8816
國立陽明大學,牙醫學系,100,1,1.25,1,NULL,1.25,1,NULL,NULL,NULL,NULL,85.6815,76.8786
馬偕醫學院,醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,85.2,76.7844
國立臺灣師範大學,音樂學系-單簧管,100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,81.745,76.7174
國立臺灣大學,外國語文學系,100,1.25,1.5,NULL,1,NULL,NULL,NULL,NULL,1,1,82.2286,76.6755
國立臺灣大學,資訊工程學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,85.02,76.6583
國立臺灣大學,地理環境資源學系B組,100,1,1,NULL,1,NULL,NULL,NULL,NULL,1,1,82.02,76.517
國立臺灣大學,政治學系公共行政組,100,1.25,1.25,NULL,1,NULL,NULL,NULL,NULL,1,1,81.7236,76.4253
國立清華大學,計量財務金融學系乙組,100,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,85.4125,76.3789
臺北醫學大學,牙醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,84.5667,76.3353
國立臺灣大學,化學工程學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,84.56,76.3305
國立政治大學,企業管理學系,100,1,2,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,85.4,76.2835
國立臺中教育大學,特殊教育學系(公費),100,1.5,1.5,NULL,1.5,NULL,NULL,NULL,NULL,1,1,82.0769,76.2084
國立政治大學,風險管理與保險學系,100,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,85.1,76.1738
國立臺灣大學,政治學系政治理論組,100,1.25,1.25,NULL,1,NULL,NULL,NULL,NULL,1,1,81.1964,76.0869
高雄醫學大學,醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,84.15,76.0381
國立政治大學,會計學系,100,1.5,2,NULL,1,NULL,NULL,NULL,NULL,1,1,81.2077,75.9145
國立政治大學,財政學系,100,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,84.65,75.8609
國立臺灣大學,機械工程學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,83.82,75.812
中國醫藥大學,醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,83.8167,75.8098
輔仁大學,醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,83.7833,75.7877
國立政治大學,經濟學系,100,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,84.4875,75.7461
