university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
國立政治大學,國際經營與貿易學系,108,1.5,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,88.1455,88.1335
國立臺北教育大學,自然科學教育系(公費)-臺中,108,1.25,1,1,NULL,1.5,1.5,NULL,NULL,NULL,NULL,85.088,88.1276
中國醫藥大學,中醫學系甲組,108,1,1,1.5,NULL,NULL,1,1,NULL,NULL,NULL,85.1182,88.1126
國立臺灣大學,資訊工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,84.68,88.0099
國立陽明大學,醫學系(公費),108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.954,87.9907
輔仁大學,醫學系(公費),108,NULL,1.25,1,NULL,1,1,1.25,NULL,NULL,NULL,84.2018,87.9906
高雄醫學大學,醫學系(公費),108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.91,87.9677
高雄醫學大學,牙醫學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.86,87.9416
國立成功大學,醫學系(公費),108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.85,87.9363
義守大學,醫學系(公費生),108,NULL,1.5,1,NULL,1,1,1.5,NULL,NULL,NULL,84.2667,87.9167
國立交通大學,資管與財金學系資訊管理組,108,1,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.44,87.9148
長庚大學,醫學系(公費),108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.8,87.9102
國立臺灣大學,藥學系,108,NULL,1,1,NULL,1,1.5,1,NULL,NULL,NULL,84.0273,87.8874
慈濟大學,醫學系(公費),108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.71,87.8632
國立交通大學,電機工程學系甲組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,84.37,87.8231
國立清華大學,電機工程學系甲組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,84.32,87.7929
國立臺灣大學,材料科學與工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,84.17,87.7025
國立陽明大學,藥學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.29,87.6437
中國醫藥大學,中醫學系乙組,108,1,1,1.5,NULL,NULL,1,1,NULL,NULL,NULL,84.3545,87.6391
國立臺灣大學,政治學系國際關係組,108,1.25,1.25,NULL,1,NULL,NULL,NULL,1,1,NULL,84.8618,87.6358
國立清華大學,電機資訊學院學士班,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,84.016,87.6097
國立交通大學,資訊工程學系甲組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,83.98,87.5892
國立清華大學,電機工程學系乙組,108,1,1.5,1.5,NULL,1.5,1,NULL,NULL,NULL,NULL,83.1462,87.5263
國立清華大學,資訊工程系甲組(電子資訊組),108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,83.78,87.4808
國立政治大學,企業管理學系,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,87.1,87.4062
國立臺灣大學,人類學系,108,1,1.5,NULL,NULL,NULL,NULL,NULL,1,1,1,83.6455,87.4042
國立臺灣大學,地理環境資源學系B組,108,1,1,NULL,1,NULL,NULL,NULL,1,1,NULL,84.29,87.3834
中山醫學大學,牙醫學系,108,1,1,1,NULL,NULL,1,1.25,NULL,NULL,NULL,84.581,87.3368
國立成功大學,藥學系,108,1,1,1,NULL,NULL,1.25,1,NULL,NULL,NULL,84.4343,87.2558
國立臺灣大學,數學系,108,NULL,1,1.5,NULL,1,1,NULL,NULL,NULL,NULL,80.4667,87.1909
國立臺灣大學,物理治療學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,82.37,87.1449
國立政治大學,風險管理與保險學系,108,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,86.65,87.0899
國立清華大學,經濟學系第2組,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,86.6,87.0881
國立政治大學,資訊管理學系社會組,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,86.58,87.0756
國立臺灣大學,社會學系,108,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1,84.41,87.0695
臺北醫學大學,藥學系臨床藥學組,108,NULL,1,1,NULL,1,1.25,1.25,NULL,NULL,NULL,82.5545,87.0688
國立政治大學,經濟學系,108,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,86.8178,87.0232
國立臺灣大學,物理學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,82.9,86.9966
國立臺灣大學,資訊管理學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,82.85,86.9659
國立臺灣大學,外國語文學系,108,1.25,2,NULL,1,NULL,NULL,NULL,1,1,NULL,83.856,86.943
國立臺灣大學,政治學系公共行政組,108,1.25,1.25,NULL,1,NULL,NULL,NULL,1,1,NULL,83.7473,86.8901
國立政治大學,法律學系,108,1,2,NULL,1,NULL,NULL,NULL,1,NULL,1,84.0333,86.8311
國立政治大學,財政學系,108,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,86.1875,86.7908
國立臺灣大學,政治學系政治理論組,108,1.25,1.25,NULL,1,NULL,NULL,NULL,1,1,NULL,83.2273,86.6028
高雄醫學大學,藥學系,108,1,1,NULL,NULL,1,1.25,1.25,NULL,NULL,NULL,84.16,86.5884
國立清華大學,資訊工程系丙組(人工智慧組),108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,82.23,86.5854
