score,cume
57,56.8
56,59.11
55,61.24
54,63.35
53,65.52
52,67.62
51,69.63
50,71.67
49,73.58
48,75.38
47,77.01
46,78.77
45,80.24
44,81.64
43,83.06
42,84.44
41,85.6
40,86.82
39,88.04
38,89.07
37,90.13
36,91.07
35,91.89
34,92.69
33,93.43
32,94.22
31,94.83
30,95.53
29,96.08
28,96.71
27,97.06
26,97.62
25,97.89
24,98.34
23,98.6
22,99
21,99.19
20,99.42
19,99.51
18,99.66
17,99.72
16,99.85
15,99.87
14,99.93
13,99.94
12,99.97
11,99.97
10,99.98
9,99.98
8,99.99
7,99.99
6,99.99
5,99.99
4,99.99
3,99.99
2,100
1,100
0,100
score,cume
100,0.91
99,0.91
98,1.22
97,1.25
96,2.49
95,2.5
94,3.3
93,3.52
92,4.73
91,4.84
90,5.95
89,6.44
88,7.64
87,8
86,9.11
85,9.82
84,10.87
83,11.62
82,12.77
81,13.73
80,14.63
79,15.79
78,16.93
77,18.08
76,19.2
75,20.37
74,21.42
73,22.59
72,23.69
71,25.03
70,26.14
69,27.43
68,28.66
67,30
66,31.19
65,32.37
64,33.66
63,34.91
62,36.27
61,37.57
60,38.91
59,40.18
58,41.6
57,42.86
56,44.24
55,45.49
54,46.86
53,48.18
52,49.48
51,50.96
50,52.31
49,53.63
48,54.96
47,56.41
46,57.56
45,58.94
44,60.31
43,61.71
42,63.05
41,64.35
40,65.58
39,66.87
38,68.13
37,69.26
36,70.48
35,71.68
34,73.01
33,74.13
32,75.39
31,76.38
30,77.77
29,78.72
28,79.95
27,80.78
26,82.28
25,83.03
24,84.53
23,85.22
22,86.68
21,87.26
20,88.76
19,89.27
18,90.67
17,91.15
16,92.69
15,92.86
14,94.14
13,94.46
12,95.57
11,95.76
10,97.19
9,97.2
8,97.76
7,97.87
6,98.86
5,98.86
4,99.53
3,99.53
2,99.57
1,99.57
0,100
score,cume
100,1.58
99,1.68
98,2.76
97,2.82
96,3.88
95,4.31
94,5.21
93,5.54
92,6.94
91,7.43
90,8.91
89,9.39
88,10.73
87,11.42
86,12.77
85,13.58
84,14.9
83,15.72
82,17.2
81,18.14
80,19.47
79,20.46
78,21.78
77,22.88
76,24.18
75,25.32
74,26.56
73,27.76
72,29.09
71,30.34
70,31.57
69,32.87
68,34.27
67,35.55
66,36.88
