Column1	Column2	Column3	欄1
國立政治大學	地政學系土地管理組	108	1.5
國立臺中教育大學	數學教育學系(公費)-臺南市	108	1
國立中興大學	獸醫學系	108	1
國立政治大學	歷史學系	108	1
國立臺灣大學	地質科學系	108	1
國立臺灣大學	戲劇學系(男)	108	1.5
國立臺灣大學	公共衛生學系	108	NULL
國立臺灣大學	護理學系	108	1
國立政治大學	民族學系	108	1
國立成功大學	材料科學及工程學系	108	1
國立政治大學	財政學系	108	1
國立政治大學	歐洲語文學系法文組	108	1.5
國立清華大學	工程與系統系(低碳綠能組)	108	1
國立清華大學	生命科學院學士班	108	NULL
國立政治大學	日本語文學系	108	1.5
國立中興大學	化學系(公費)-花蓮縣	108	1
國立交通大學	光電工程學系	108	1
國立臺北大學	法律學系法學組	108	1.5
國立政治大學	傳播學院不分系社會組	108	1.5
國立清華大學	原子科學院學士班	108	1
國立政治大學	韓國語文學系	108	1.5
國立交通大學	機械工程學系	108	1
國立清華大學	化學系	108	1
國立清華大學	經濟學系第1組	108	1
國立政治大學	哲學系	108	1.25
國立政治大學	經濟學系	108	1
國立嘉義大學	獸醫學系	108	1
國立陽明大學	生物醫學工程學系	108	1
國立高雄師範大學	工業科教系教訓組(公費)臺南	108	1
國立政治大學	地政學系土地資源規劃組	108	1.5
國立陽明大學	醫學生物技術暨檢驗學系	108	NULL
國立政治大學	企業管理學系	108	1
國立臺灣大學	地理環境資源學系A組	108	1
國立臺灣大學	植物病理與微生物學系	108	1
國立成功大學	物理治療學系	108	1
國立臺灣大學	昆蟲學系	108	NULL
國立中央大學	電機工程學系	108	1
國立清華大學	生醫工程與環境科學系	108	1
國立中興大學	電機工程學系甲組	108	1
國立臺北大學	財政學系	108	1.25
國立中興大學	法律學系	108	1.5
國立清華大學	經濟學系第2組	108	1
國立政治大學	英國語文學系	108	1.5
國立中央大學	資訊電機學院學士班	108	1
國立政治大學	資訊管理學系社會組	108	1
國立中山大學	電機工程學系甲組	108	1
國立交通大學	應用化學系	108	1
國立成功大學	都市計劃學系(社會組)	108	1.5
國立成功大學	光電科學與工程學系	108	1
國立成功大學	職能治療學系	108	1
國立中央大學	財務金融學系	108	1
國立政治大學	公共行政學系	108	1
國立政治大學	阿拉伯語文學系	108	1.5
國立政治大學	東南亞語言文化學士學位學程	108	1.5
國立陽明大學	生命科學系暨基因科學研究所	108	NULL
國立清華大學	外國語文學系	108	1
國立臺灣大學	農藝學系	108	1
國立政治大學	斯拉夫語文學系	108	1.5
國立中正大學	財經法律學系	108	1.5
國立成功大學	生物醫學工程學系	108	1
國立交通大學	人文社會學系	108	1
國立臺灣師範大學	臺灣語文學系	108	1.5
國立交通大學	傳播與科技學系	108	1.5
國立成功大學	醫學檢驗生物技術學系	108	1
國立中央大學	資訊工程學系	108	
國立陽明大學	生物醫學影像暨放射科學系	108	NULL
國立成功大學	建築學系	108	1.25
國立交通大學	應用數學系	108	1
國立清華大學	數學系甲組(數學組)	108	1
國立成功大學	企業管理學系	108	1
國立交通大學	管理科學系	108	1
國立清華大學	醫學科學系	108	NULL
國立成功大學	化學工程學系	108	1
國立交通大學	外國語文學系	108	1.5
國立中正大學	電機工程學系甲組	108	1
國立成功大學	航空太空工程學系	108	1
國立政治大學	政治學系	108	1.5
國立成功大學	政治學系	108	1.25
國立成功大學	工程科學系	108	1
國立清華大學	計量財務金融學系甲組	108	1
國立成功大學	會計學系	108	1
國立政治大學	社會學系	108	1.5
