biology,cume,0
98,0.03,94.75
97,0.03,94.75
96,0.14,92.4
95,0.14,92.4
94,0.44,90
93,0.44,90
92,1.05,87.9
91,1.05,87.9
90,2.04,85.8276
89,2.04,85.8276
88,3.78,83.2687
87,3.78,83.2687
86,5.84,81.3723
85,5.84,81.3723
84,8.45,79.4536
83,8.45,79.4536
82,11.6,77.5188
81,11.6,77.5188
80,15.21,75.6286
79,15.21,75.6286
78,19.06,73.7988
77,19.06,73.7988
76,23.15,71.9943
75,23.15,71.9943
74,27.59,70.0561
73,27.59,70.0561
72,32.06,68.2162
71,32.06,68.2162
70,36.79,66.3067
69,36.79,66.3067
68,41.08,64.5897
67,41.08,64.5897
66,45.21,62.9055
65,45.21,62.9055
64,49.77,61.1055
63,49.77,61.1055
62,53.86,59.5126
61,53.86,59.5126
60,58.26,57.7085
59,58.26,57.7085
58,62.21,56.0342
57,62.21,56.0342
56,66.3,54.2292
55,66.3,54.2292
54,70.29,52.3496
53,70.29,52.3496
52,74.23,50.3406
51,74.23,50.3406
50,77.7,48.4622
49,77.7,48.4622
48,80.98,46.5771
47,80.98,46.5771
46,84,44.6738
45,84,44.6738
44,86.69,42.8868
43,86.69,42.8868
42,89.15,41
41,89.15,41
40,91.36,38.9492
39,91.36,38.9492
38,93.2,36.9709
37,93.2,36.9709
36,94.82,35.0312
35,94.82,35.0312
34,96.06,33.3818
33,96.06,33.3818
32,97.09,31.5526
31,97.09,31.5526
30,97.9,29.5926
29,97.9,29.5926
28,98.5,27.7692
27,98.5,27.7692
26,98.99,26.0645
25,98.99,26.0645
24,99.28,24.5909
23,99.28,24.5909
22,99.52,22.8667
21,99.52,22.8667
20,99.73,20.7142
19,99.73,20.7142
18,99.87,18
17,99.87,18
16,99.94,15
15,99.94,15
14,99.97,12
13,99.97,12
12,99.98,10
11,99.98,10
10,99.99,8
9,99.99,8
8,99.99,8
7,99.99,8
6,99.99,8
5,99.99,8
4,99.99,8
3,99.99,8
2,99.99,8
1,99.99,8
0,100,0
history,cume,0
100,0,99
99,0.02,96
98,0.12,92.6
97,0.21,91.625
96,0.37,90.3889
95,0.71,88.8571
94,1.26,87.375
93,1.94,86
92,2.69,84.7792
91,3.81,83.2239
90,5.11,82.1085
89,6.56,80.7861
88,8.23,79.6804
87,10.01,78.4589
86,12.01,77.2105
85,14.24,76.1875
84,16.54,74.8289
83,18.96,73.858
82,21.6,72.5641
81,24.21,71.392
80,26.78,70.3403
79,29.57,69.0854
78,32.22,68.1622
77,34.84,66.9297
76,37.4,66.1118
75,39.89,64.9712
74,42.37,64.1763
73,44.84,63.04
72,47.26,62.2378
71,49.73,61.1256
70,51.81,60.3711
69,53.93,59.4774
68,56.05,58.5821
67,58.18,57.7487
66,60.49,56.6882
65,62.47,55.9045
64,64.32,54.9167
63,66.06,54.3125
62,67.93,53.4393
61,69.83,52.5366
60,71.66,51.6752
59,73.31,50.7424
58,74.91,50.0437
57,76.46,49.0203
56,77.97,48.3422
55,79.44,47.4964
54,80.92,46.607
53,82.14,46
52,83.47,44.9572
51,84.83,44.2299
50,86.05,43.368
49,87.07,42.6478
48,88.13,41.9714
47,89.13,41.0191
46,90.03,40.3333
45,90.98,39.3855
44,91.68,38.678
43,92.46,38.017
42,93.22,36.9515
41,93.85,36.3398
40,94.41,35.6719
39,94.9,34.9318
38,95.4,34.3636
37,95.86,33.7455
36,96.39,32.8154
35,96.82,32.1538
34,97.17,31.3421
33,97.51,30.5714
32,97.83,29.8518
31,98.12,28.8421
30,98.35,28.2368
29,98.57,27.5
28,98.79,26.7097
27,98.94,26.2258
26,99.11,25.4445
25,99.25,24.7273
24,99.36,24.2273
23,99.46,23.4445
22,99.56,22.6
21,99.64,22.0667
20,99.72,20.8571
19,99.79,19.6666
18,99.83,18.6666
17,99.87,18
16,99.91,17
15,99.92,16.5002
14,99.93,16
13,99.96,13
12,99.96,13
11,99.98,10
10,99.98,10
9,99.98,10
8,99.99,8
7,99.99,8
6,99.99,8
5,99.99,8
4,99.99,8
3,99.99,8
2,99.99,8
1,99.99,8
0,100,0
matha,cume,0
100,0.06,94
99,0.06,94
98,0.1,92.8
97,0.1,92.8
96,0.2,91.75
95,0.2,91.75
94,0.31,90.7222
93,0.36,90.4444
92,0.5,89.7273
91,0.56,89.4545
90,0.76,88.7143
89,0.8,88.6
88,0.96,88.1429
87,1.09,87.8
86,1.38,87.075
85,1.53,86.7736
84,1.89,86.0943
83,2.06,85.7931
82,2.47,85.0862
81,2.8,84.6364
80,3.23,84.0779
79,3.57,83.5821
78,4.05,82.9302
77,4.53,82.5581
76,5.18,82.0543
75,5.75,81.4681
74,6.52,80.8092
73,7.1,80.474
72,7.95,79.9691
71,8.69,79.2062
70,9.57,78.6715
69,10.25,78.343
68,11.23,77.797
67,12.05,77.1805
66,13.06,76.6792
65,13.93,76.3167
64,14.96,75.8071
63,15.96,75.0929
62,17.3,74.5399
61,18.26,74.1749
60,19.5,73.5385
59,20.48,72.9744
58,21.96,72.4322
57,23.04,72.0366
56,24.57,71.1875
55,25.65,70.7368
54,27.24,70.1789
53,28.47,69.6382
52,30.06,68.8919
51,31.23,68.4966
50,32.9,67.8958
49,34.07,67.2865
48,35.89,66.5942
47,37.15,66.1917
46,38.94,65.4195
45,40.22,64.8654
44,42.11,64.2596
43,43.38,63.77
42,45.27,62.886
41,46.54,62.4723
40,48.23,61.8794
39,49.45,61.2663
38,51.27,60.5567
37,52.6,60.0997
36,54.42,59.2312
35,55.68,58.7143
34,57.69,57.995
33,59.03,57.3216
32,60.7,56.6084
31,62.04,56.0989
30,63.7,55.2135
29,64.92,54.7083
28,66.68,54.0972
27,67.52,53.6763
26,69.29,52.7561
25,70.52,52.2561
24,72,51.4586
23,73.35,50.7249
22,75.06,49.9662
21,75.89,49.4054
20,77.96,48.3467
19,78.9,47.8849
18,80.39,46.8706
17,82.24,45.92
16,83.76,44.8021
15,85.23,44.016
14,87.17,42.5849
13,87.66,42.2767
12,89.69,40.5909
11,91.17,39.1566
10,92.03,38.3814
9,93.72,36.466
8,95.04,34.7727
7,95.5,34.25
6,96.93,31.9737
5,97.07,31.6053
4,98.04,29.0741
3,98.95,26.1936
2,98.98,26.0968
1,99.67,21.6667
0,100,0
mathb,cume,0
100,0.95,88.1714
99,0.95,88.1714
98,1.1,87.775
97,1.1,87.775
96,2.08,85.7586
95,2.08,85.7586
94,3.31,83.9701
93,3.39,83.8507
92,4.54,82.5504
91,4.56,82.5349
90,6.03,81.1702
89,6.13,81.0638
88,7.82,80.0578
87,8,79.9175
86,9.9,78.5121
85,10.07,78.43
84,11.87,77.3158
83,12.14,77.1128
82,14.13,76.2333
81,14.5,76.0792
80,16.62,74.7985
79,17.02,74.6464
78,19.2,73.716
77,19.66,73.4438
76,21.6,72.5641
75,22.07,72.3919
74,24.36,71.3068
73,25.06,70.9439
72,27.14,70.214
71,27.87,69.9397
70,29.92,68.9392
69,30.69,68.6791
68,32.53,68.0574
67,33.43,67.6198
66,35.35,66.7668
65,36.34,66.4505
64,38.03,65.8634
63,39.01,65.3854
62,40.66,64.7244
61,41.57,64.4327
60,43.35,63.785
59,44.37,63.275
58,45.97,62.658
57,46.94,62.342
56,48.63,61.6784
55,49.82,61.0804
54,51.41,60.5086
53,52.42,60.1615
52,54.08,59.402
51,55.02,58.95
50,56.5,58.4214
49,57.63,58.0179
48,59.22,57.2261
47,60.21,56.7947
46,61.64,56.2509
45,62.72,55.764
44,64.09,54.9965
43,65.12,54.6389
42,66.54,54.1458
41,67.52,53.6763
40,68.92,52.9065
39,69.79,52.5528
38,71.1,52.0203
37,71.99,51.465
36,73.46,50.6769
35,74.41,50.262
34,75.69,49.5405
33,76.62,48.9422
32,77.87,48.3867
31,78.77,47.9784
30,80.01,47.0863
29,80.83,46.6517
28,82.04,46.0498
27,82.95,45.352
26,83.98,44.6845
25,84.9,44.1925
24,85.97,43.432
23,86.69,42.8868
22,87.79,42.195
21,88.48,41.6381
20,89.5,40.7348
19,90.22,40.1894
18,91.17,39.1566
17,92.05,38.3644
16,92.88,37.4203
15,93.42,36.7573
14,94.4,35.6875
13,94.73,35.1719
12,95.53,34.2159
11,96.12,33.2727
10,96.52,32.6154
9,97.27,31.079
8,97.81,29.9259
7,98.17,28.7105
6,98.72,26.9355
5,98.84,26.5484
4,99.11,25.4445
3,99.47,23.3333
2,99.51,22.9333
1,99.88,17.7501
0,100,0
physics,cume,0
100,0,99
99,0,99
98,0.03,94.75
97,0.06,94
96,0.09,92.9
95,0.14,92.4
94,0.18,92
93,0.24,91.25
92,0.34,90.5556
91,0.44,90
90,0.58,89.3636
89,0.76,88.7143
88,0.94,88.2
87,1.15,87.65
86,1.38,87.075
85,1.68,86.4906
84,2.02,85.8621
83,2.36,85.2759
82,2.68,84.7922
81,3.04,84.3247
80,3.4,83.8358
79,3.9,83.0896
78,4.35,82.6977
77,4.87,82.2946
76,5.48,81.7553
75,5.97,81.234
74,6.64,80.7399
73,7.3,80.3584
72,8.01,79.9072
71,8.76,79.134
70,9.44,78.7343
