score,cume
66,32.47
65,34.72
64,37.12
63,39.45
62,41.58
61,44.03
60,46.24
59,48.42
58,50.57
57,52.75
56,54.92
55,56.96
54,59.11
53,61.21
52,63.42
51,65.45
50,67.43
49,69.31
48,71.22
47,72.98
46,74.82
45,76.56
44,78.3
43,79.96
42,81.52
41,83.08
40,84.51
39,85.83
38,87.12
37,88.36
36,89.52
35,90.61
34,91.69
33,92.65
32,93.75
31,94.49
30,95.23
29,95.86
28,96.47
27,96.98
26,97.5
25,97.88
24,98.29
23,98.63
22,98.89
21,99.08
20,99.28
19,99.44
18,99.58
17,99.69
16,99.81
15,99.85
14,99.9
13,99.92
12,99.96
11,99.96
10,99.98
9,99.98
8,99.99
7,99.99
6,99.99
5,99.99
4,99.99
3,99.99
2,99.99
1,99.99
0,100
score,cume
100,0
99,0
98,0
97,0
96,0.01
95,0.01
94,0.03
93,0.06
92,0.08
91,0.11
90,0.15
89,0.2
88,0.29
87,0.37
86,0.48
85,0.61
84,0.76
83,0.92
82,1.08
81,1.2
80,1.43
79,1.64
78,1.88
77,2.06
76,2.45
75,2.74
74,3.16
73,3.51
72,4.05
71,4.4
70,5.04
69,5.45
68,6.14
67,6.72
66,7.64
65,8.29
64,9.17
63,9.84
62,11.03
61,11.74
60,13.02
59,13.92
58,15.24
57,16.2
56,17.53
55,18.64
54,20.14
53,21.22
52,22.9
51,24.07
50,25.88
49,27.08
48,29.09
47,30.42
46,32.48
45,33.93
44,36.09
43,37.56
42,39.57
41,41.03
40,43
39,44.45
38,46.65
37,48.03
36,50.27
35,51.66
34,53.75
33,55.22
32,57.6
31,59.1
30,61.15
29,62.57
28,64.82
27,66.19
26,68.28
25,69.65
24,71.59
23,73.11
22,75.23
21,76.48
20,78.47
19,79.74
18,81.52
17,83.14
16,84.96
15,86.11
14,87.95
13,89.04
12,90.7
11,92.16
10,93.27
9,94.49
8,95.68
7,96.38
6,97.47
5,98.02
4,98.5
3,99.22
2,99.39
1,99.79
0,100
score,cume
100,1.1
99,1.1
98,1.21
97,1.26
96,1.84
95,1.91
94,2.28
93,2.71
92,3.45
91,3.69
90,4.1
89,4.66
88,5.18
87,5.7
86,6.13
85,6.95
84,7.38
83,7.98
82,8.5
81,9.39
80,9.93
79,10.89
78,11.39
77,12.36
76,13.05
75,13.98
74,14.76
73,15.8
72,16.48
71,17.5
70,18.2
69,19.31
68,20.18
67,21.03
66,21.93
65,22.84
64,23.68
63,24.74
62,25.6
61,26.71
60,27.74
59,28.68
58,29.77
57,30.62
56,31.53
55,32.49
54,33.52
53,34.47
52,35.7
51,36.53
50,37.85
49,38.69
48,39.96
47,41.05
46,42.08
45,43.27
44,44.42
43,45.32
42,46.65
41,47.51
40,48.83
39,50.01
38,51.26
37,52.71
36,54.01
35,54.95
34,56.66
33,57.5
32,58.99
31,60.63
30,61.77
29,63.41
28,65.1
27,66.01
26,68.1
25,69.17
24,70.57
23,72.77
22,74.13
21,75.71
20,77.88
19,78.49
18,80.6
17,82.22
16,83.45
15,85.69
14,87.41
13,88.39
12,90.54
11,91.13
10,92.34
9,94.25
8,94.81
7,96.17
6,97.48
5,97.5
4,98.14
3,98.82
2,98.82
1,99.66
0,100
score,cume
100,0.04
99,0.07
98,0.11
97,0.19
96,0.31
95,0.47
94,0.63
93,0.86
92,1.12
91,1.42
90,1.87
89,2.41
88,3
87,3.54
86,4.13
85,4.78
84,5.5
83,6.23
82,7.05
81,7.92
80,8.77
79,9.68
78,10.53
77,11.47
76,12.5
75,13.55
74,14.55
73,15.63
72,16.83
71,17.96
70,19.04
69,20.43
68,21.58
67,22.75
66,23.96
65,25.19
64,26.55
63,27.79
62,28.92
61,30.2
60,31.45
59,32.85
58,34.17
57,35.43
56,36.7
55,37.9
54,39.15
53,40.37
52,41.55
51,42.84
50,44.06
49,45.34
48,46.58
47,47.86
46,49.16
45,50.52
44,51.78
43,53
42,54.45
41,55.74
40,57.14
39,58.57
38,59.97
37,61.15
36,62.58
35,64.03
34,65.35
33,66.74
32,68.18
31,69.84
30,71.61
29,73.24
28,74.86
27,76.62
26,78.51
25,80.54
24,82.25
23,83.98
22,85.84
21,87.67
20,89.36
19,91
18,92.28
17,93.57
16,94.97
15,96
14,96.95
13,97.63
12,98.27
11,98.78
10,99.18
9,99.41
8,99.64
7,99.79
6,99.84
5,99.89
4,99.91
3,99.93
2,99.94
1,99.95
0,100
score,cume
100,0
99,0
98,0
97,0
96,0.01
95,0.01
94,0.02
93,0.02
92,0.08
91,0.14
90,0.28
89,0.42
88,0.65
87,0.87
86,1.37
85,1.83
84,2.6
83,3.31
82,4.49
81,5.33
80,6.89
79,8.04
78,10
77,11.46
76,13.71
75,15.51
74,17.93
73,19.84
72,22.76
71,24.76
70,27.77
69,29.77
68,32.68
67,34.98
66,38.1
65,40.14
64,43.48
63,45.78
62,48.98
61,50.99
60,54.33
59,56.25
58,59.25
57,61.43
56,64.47
55,66.41
54,69.22
53,71
52,73.61
51,75.38
50,77.93
49,79.58
48,82.01
47,83.33
46,85.18
45,86.33
44,88.09
43,89.05
42,90.37
41,91.09
40,92.18
39,92.88
38,93.84
37,94.44
36,95.17
35,95.64
34,96.37
33,96.82
32,97.39
31,97.64
30,98.03
29,98.25
28,98.58
27,98.78
26,99.06
25,99.21
24,99.43
23,99.5
22,99.69
21,99.75
20,99.84
19,99.84
18,99.91
17,99.93
16,99.95
15,99.95
14,99.96
13,99.96
12,99.96
11,99.96
