biology,cume,0
100,0,99
99,0,99
98,0,99
97,0,99
96,0,99
95,0.01,92
94,0.05,88
93,0.18,85.6
92,0.3,84.5
91,0.43,83.5882
90,0.66,82.4348
89,1.01,81.2647
88,1.51,80.1277
87,2.04,79.2034
86,2.67,78.32
85,3.52,77.337
84,4.37,76.5091
83,5.37,75.6562
82,6.36,74.9
81,7.51,74.1333
80,8.72,73.3952
79,10.07,72.6462
78,11.38,71.9776
77,12.96,71.2691
76,14.36,70.6567
75,15.84,70.0215
74,17.38,69.4377
73,19.05,68.8198
72,20.67,68.2474
71,22.25,67.7096
70,23.96,67.1452
69,25.75,66.5559
68,27.49,65.9848
67,29.2,65.465
66,30.91,64.9439
65,32.61,64.4143
64,34.31,63.8905
63,36.05,63.3757
62,37.74,62.8746
61,39.53,62.3403
60,41.19,61.8424
59,42.88,61.3303
58,44.5,60.8432
57,46.3,60.3106
56,48.09,59.7798
55,49.94,59.2292
54,51.84,58.6435
53,53.71,58.0536
52,55.53,57.4677
51,57.34,56.8776
50,59.04,56.2993
49,61.02,55.6167
48,62.93,54.9522
47,64.84,54.3003
46,66.69,53.6421
45,68.49,52.9769
44,70.31,52.2769
43,72.02,51.5823
42,73.86,50.8
41,75.43,50.1174
40,77.31,49.2512
39,78.91,48.4726
38,80.54,47.6304
37,82.01,46.8198
36,83.44,45.9874
35,84.78,45.1447
34,86.29,44.1409
33,87.62,43.1181
32,88.78,42.1653
31,89.9,41.156
30,91.01,40.1532
29,92.01,39.1263
28,92.93,38.0909
27,93.87,36.7714
26,94.64,35.6349
25,95.36,34.4754
24,96.14,33.0577
23,96.76,31.6429
22,97.36,30.1538
21,97.79,28.8966
20,98.17,27.5385
19,98.56,25.8889
18,98.89,24.1053
17,99.17,22.4
16,99.38,20.6364
15,99.59,18.3751
14,99.75,15.6666
13,99.82,14
12,99.89,12
11,99.94,10
10,99.96,9
9,99.98,7.49981
8,99.99,7
7,100,5
6,100,5
5,100,5
4,100,5
3,100,5
2,100,5
1,100,5
0,100,5
chemistry,cume,0
100,0,99
99,0,99
98,0.02,90
97,0.02,90
96,0.04,88.5
95,0.1,86.8
94,0.2,85.4
93,0.31,84.4167
92,0.46,83.4118
91,0.67,82.3913
90,0.96,81.4118
89,1.32,80.5319
88,1.71,79.7627
87,2.19,78.96
86,2.73,78.24
85,3.39,77.4783
84,4.17,76.6909
83,4.93,76
82,5.81,75.3125
81,6.69,74.68
80,7.52,74.1267
79,8.4,73.5868
78,9.29,73.0539
77,10.4,72.4769
76,11.56,71.8969
75,12.75,71.3632
74,14.07,70.7811
73,15.25,70.2747
72,16.51,69.766
71,17.9,69.2415
70,19.24,68.7526
69,20.59,68.2756
68,22.28,67.6997
67,23.83,67.1881
66,25.4,66.6711
65,27.03,66.1349
64,28.56,65.6596
63,30.2,65.1611
62,31.82,64.6604
61,33.55,64.1215
60,35.37,63.5769
59,36.95,63.1095
58,38.75,62.5731
57,40.52,62.0448
56,42.45,61.4606
55,44.38,60.8787
54,46.16,60.3521
53,47.85,59.8512
52,49.63,59.3214
51,51.38,58.7886
50,53.2,58.2145
49,54.97,57.6484
48,56.78,57.0645
47,58.5,56.483
46,60.28,55.8746
45,61.95,55.2927
44,63.61,54.7201
43,65.3,54.1433
42,67.11,53.4871
41,68.84,52.8423
40,70.61,52.1615
39,72.47,51.3924
38,74.34,50.5913
37,76.07,49.8279
36,77.8,49.0233
35,79.49,48.1841
34,81.14,47.3043
33,82.82,46.3488
32,84.33,45.4277
31,85.92,44.3893
30,87.48,43.2283
29,88.86,42.0992
28,90.18,40.9009
27,91.38,39.7895
26,92.43,38.6591
25,93.27,37.6286
24,94.16,36.3571
23,94.98,35.0952
22,95.72,33.8654
21,96.41,32.4545
20,97.07,30.8974
19,97.56,29.5882
18,97.99,28.2069
17,98.36,26.7826
16,98.7,25.1111
15,98.94,23.8235
14,99.23,22
13,99.42,20.2727
12,99.56,18.75
11,99.7,16.8001
10,99.83,13.6666
9,99.89,12
8,99.93,10.3334
7,99.97,8
6,99.98,7.49981
5,99.99,7
4,99.99,7
3,99.99,7
2,99.99,7
1,100,5
0,100,5
english,cume,0
100,0,99
99,0.01,92
98,0.03,89
97,0.08,87.25
96,0.15,85.9
95,0.27,84.75
94,0.46,83.4118
93,0.74,82.087
92,1.11,80.9787
91,1.55,80.0426
90,2.07,79.1525
89,2.69,78.2933
88,3.34,77.5326
87,4.07,76.7818
86,4.91,76.0182
85,5.83,75.2969
84,6.74,74.6467
83,7.82,73.9341
82,8.86,73.3114
81,9.95,72.7077
80,11.13,72.1026
79,12.3,71.565
78,13.44,71.0538
77,14.72,70.5021
76,15.97,69.9698
75,17.29,69.4717
74,18.62,68.9717
73,19.93,68.5088
72,21.3,68.0247
71,22.6,67.5941
70,23.99,67.1353
69,25.41,66.6678
68,26.85,66.1941
67,28.26,65.7508
66,29.62,65.3374
65,30.97,64.9252
64,32.43,64.4704
63,33.84,64.0312
62,35.29,63.6006
61,36.65,63.1982
60,38.14,62.7552
59,39.62,62.3134
58,41.03,61.8909
57,42.5,61.4455
56,43.99,60.9941
55,45.45,60.5621
54,46.76,60.1746
53,48.21,59.744
52,49.67,59.3095
51,51.12,58.8707
50,52.49,58.4385
49,53.91,57.9903
48,55.34,57.529
47,56.79,57.0613
46,58.31,56.5476
45,59.79,56.0442
44,61.17,55.5645
43,62.63,55.0557
42,64.01,54.5836
41,65.38,54.116
40,66.69,53.6421
39,68.04,53.1439
38,69.39,52.6308
37,70.74,52.1115
36,72.11,51.5443
35,73.42,50.9913
34,74.73,50.4217
33,76.05,49.8372
32,77.35,49.2326
31,78.62,48.6169
30,79.92,47.9674
29,81.2,47.2717
28,82.48,46.5465
27,83.73,45.805
26,84.98,45.0189
25,86.18,44.2148
24,87.5,43.2126
23,88.7,42.2314
22,89.98,41.0826
21,91.26,39.9158
20,92.43,38.6591
19,93.63,37.1143
18,94.73,35.4921
17,95.83,33.6538
16,96.79,31.5714
15,97.58,29.5294
14,98.28,27.1154
13,98.8,24.5789
12,99.2,22.2
11,99.5,19.4444
10,99.68,17.1429
9,99.82,14
8,99.9,11.5
7,99.96,9
6,99.98,7.49981
5,99.99,7
4,99.99,7
3,99.99,7
2,100,5
1,100,5
0,100,5
geography,cume,0
100,0,99
99,0,99
98,0,99
97,0,99
96,0,99
95,0,99
94,0,99
93,0,99
92,0,99
91,0,99
90,0.01,92
89,0.02,90
88,0.06,87.75
87,0.07,87.5
86,0.19,85.5
85,0.24,85
84,0.46,83.4118
83,0.54,82.9565
82,0.94,81.4706
81,1.05,81.1471
80,1.81,79.5932
79,2,79.2712
78,3.11,77.7826
77,3.39,77.4783
76,5.19,75.7969
75,5.57,75.5
74,7.84,73.9222
73,8.36,73.6108
72,11.52,71.9148
71,12.15,71.6323
70,15.93,69.9849
69,16.57,69.7434
68,20.81,68.1979
67,21.56,67.9373
66,26.22,66.4013
65,27.12,66.1053
64,32.13,64.5639
63,32.99,64.296
62,38.23,62.7284
61,39.02,62.4925
60,44.41,60.8698
59,45.24,60.6243
58,50.49,59.0655
57,51.33,58.8044
56,56.48,57.1613
55,57.2,56.9252
54,62.17,55.216
53,62.86,54.9761
52,67.58,53.3137
51,68.19,53.0886
50,72.35,51.443
49,72.94,51.1941
48,76.51,49.6233
47,76.96,49.414
46,80.41,47.7011
45,80.83,47.4728
44,83.91,45.6918
43,84.23,45.4906
42,86.85,43.7244
41,87.1,43.5276
40,89.32,41.6881
39,89.51,41.5138
38,91.44,39.7263
37,91.57,39.5895
36,93.23,37.6857
35,93.37,37.4857
34,94.75,35.4603
33,94.85,35.3016
32,95.96,33.4038
31,96.02,33.2885
30,96.99,31.0952
29,97.03,31
28,97.79,28.8966
27,97.8,28.8621
26,98.5,26.1739
25,98.53,26.0435
24,99.04,23.2353
23,99.05,23.1765
22,99.39,20.5454
21,99.4,20.4545
20,99.65,17.5714
19,99.65,17.5714
18,99.8,14.3999
17,99.81,14.2
16,99.93,10.3334
15,99.93,10.3334
14,99.97,8
13,99.97,8
12,99.99,7
11,99.99,7
10,100,5
9,100,5
8,100,5
7,100,5
6,100,5
5,100,5
4,100,5
3,100,5
2,100,5
1,100,5
0,100,5
history,cume,0
100,0,99
99,0,99
98,0,99
97,0,99
96,0.01,92
95,0.03,89
94,0.06,87.75
93,0.13,86.2
92,0.2,85.4
91,0.3,84.5
90,0.47,83.3529
89,0.76,82
88,1.06,81.1176
87,1.5,80.1489
86,2.09,79.1186
85,2.71,78.2667
84,3.47,77.3913
83,4.32,76.5545
82,5.33,75.6875
81,6.42,74.86
80,7.66,74.0333
79,9.02,73.2156
78,10.5,72.4256
77,12.09,71.6592
76,13.84,70.8798
75,15.66,70.0987
74,17.62,69.3472
73,19.65,68.6078
72,21.73,67.8812
71,23.77,67.2079
70,26.03,66.4638
69,28.18,65.7751
68,30.51,65.0669
67,32.87,64.3333
66,35.29,63.6006
65,37.74,62.8746
64,40.15,62.1552
63,42.52,61.4394
62,44.88,60.7308
61,47.3,60.0148
