biology,cume,0
100,0,99
99,0,99
98,0,99
97,0,99
96,0,99
95,0,99
94,0,99
93,0.02,96.5
92,0.02,96.5
91,0.05,94.75
90,0.13,93.2857
89,0.21,92.25
88,0.36,91.1333
87,0.58,89.8276
86,0.94,88.6842
85,1.34,87.6818
84,1.99,86.4355
83,2.86,84.9239
82,3.69,84.0217
81,4.72,82.7899
80,5.88,81.9186
79,7.18,80.7287
78,8.5,80.0266
77,9.96,78.816
76,11.61,78.0377
75,13.21,76.8996
74,14.8,76.261
73,16.7,75.1722
72,18.65,74.3424
71,20.37,73.4581
70,22.27,72.578
69,24.03,71.927
68,25.8,70.9573
67,27.58,70.3238
66,29.62,69.4235
65,31.32,68.6958
64,32.98,68.1154
63,34.79,67.2487
62,36.36,66.6289
61,38.08,66.0378
60,39.8,65.2069
59,41.52,64.5652
58,43.18,64.01
57,44.81,63.1753
56,46.45,62.5486
55,48.03,62
54,49.69,61.0349
53,51.34,60.4218
52,52.82,59.8232
51,54.45,58.9464
50,56.4,58.1992
49,58.23,57.2557
48,59.81,56.562
47,61.62,55.7895
46,63.46,54.795
45,65.27,54.0377
44,66.96,52.9828
43,68.41,52.3605
42,70.18,51.3586
41,71.79,50.4977
40,73.5,49.5594
39,75.22,48.5598
38,76.74,47.7155
37,78.38,46.5957
36,79.98,45.5676
35,81.5,44.5056
34,83.09,43.3645
33,84.51,42.3312
32,85.98,40.964
31,87.31,40.0072
30,88.57,38.7619
29,89.9,37.5375
28,91.08,36.3056
27,92.2,34.9346
26,93.18,34.0187
25,94.09,32.6222
24,94.9,31.4898
23,95.58,30.3803
22,96.35,28.9683
21,96.94,28.0317
20,97.5,26.6111
19,98.08,25.1071
18,98.56,23.6191
17,98.86,22.4138
16,99.23,20.5263
15,99.48,18.9333
14,99.68,17
13,99.76,16.2
12,99.85,14.5001
11,99.93,12
10,99.95,11
9,99.96,10.5
8,99.96,10.5
7,99.99,4
6,99.99,4
5,99.99,4
4,99.99,4
3,99.99,4
2,99.99,4
1,99.99,4
0,100,0
chemistry,cume,0
100,0.16,92.875
99,0.23,92
98,0.63,89.6552
97,0.9,88.7895
96,1.58,87.1364
95,2.12,86.2258
94,2.88,84.9022
93,3.81,83.8611
92,4.75,82.7681
91,5.78,82.0217
90,6.92,80.867
89,8.29,80.1383
88,9.5,79.0686
87,10.79,78.4245
86,12.12,77.6614
85,13.52,76.7751
84,14.85,76.241
83,16.16,75.5298
82,17.44,74.8132
81,19,74.2062
80,20.49,73.3806
79,21.79,72.7482
78,23.16,72.2624
77,24.61,71.6011
76,25.88,70.9288
75,27.19,70.4626
74,28.64,69.9235
73,29.98,69.2398
72,31.43,68.6573
71,32.77,68.1888
70,34.08,67.6091
69,35.45,66.9416
68,36.69,66.5155
67,38.09,66.0344
66,39.42,65.3941
65,40.75,64.8227
64,42.13,64.3612
63,43.41,63.8969
62,44.65,63.2577
61,45.99,62.7083
60,47.31,62.25
59,48.51,61.7209
58,49.75,61
57,50.92,60.5745
56,52.17,60.12
55,53.28,59.5691
54,54.61,58.8851
53,55.74,58.4521
52,56.9,58.0077
51,58.05,57.358
50,59.13,56.8256
49,60.3,56.3721
48,61.43,55.9006
47,62.63,55.1988
46,63.78,54.6611
45,64.83,54.2218
44,66.02,53.5769
43,67.11,52.9185
42,68.23,52.4378
41,69.29,51.9724
40,70.46,51.1655
39,71.59,50.5899
38,72.66,50.0968
37,73.94,49.2517
36,75.3,48.5215
35,76.5,47.9106
34,77.71,46.9521
33,78.92,46.3085
32,80.24,45.3333
31,81.48,44.5167
30,82.65,43.7757
29,83.95,42.6948
28,85.08,41.9341
27,86.25,40.7698
26,87.41,39.9053
25,88.84,38.5476
24,89.91,37.525
23,91.15,36.2407
22,92.2,34.9346
21,93.13,34.0654
20,94.03,32.6889
19,94.85,31.5918
18,95.74,30.1549
17,96.53,28.6825
16,97.25,27.1212
15,97.82,26.0185
14,98.23,24.6757
13,98.71,22.931
12,98.97,22.0345
11,99.21,20.6316
10,99.49,18.8667
9,99.61,18.0667
8,99.72,16.6
7,99.84,14.7501
6,99.9,13
5,99.92,12.3334
4,99.95,11
3,99.97,10
2,99.98,8
1,99.99,4
0,100,0
english,cume,0
100,0,99
99,0,99
98,0.01,98
97,0.03,96
96,0.1,93.7143
95,0.22,92.125
94,0.38,91
93,0.67,89.5172
92,1.05,88.3947
91,1.62,87.0455
90,2.23,86.0484
89,3.1,84.663
88,4.12,83.4306
87,5.26,82.3986
86,6.56,81.1279
85,7.99,80.2979
84,9.63,78.9717
83,11.31,78.1792
82,12.99,76.988
81,14.67,76.3133
80,16.55,75.2715
79,18.21,74.5136
78,20.01,73.6903
77,21.67,72.7908
76,23.48,72.1489
75,25.2,71.2697
74,26.83,70.5907
73,28.4,70.032
72,29.95,69.2551
71,31.53,68.6224
70,33.06,68.0874
69,34.51,67.3909
68,35.88,66.7938
67,37.26,66.3196
66,38.59,65.803
65,39.85,65.1823
64,41.18,64.6789
63,42.43,64.2609
62,43.63,63.7835
61,44.9,63.1289
60,46.13,62.6597
59,47.29,62.2569
58,48.45,61.7558
57,49.65,61.0581
56,50.6,60.6909
55,51.72,60.2836
54,52.93,59.7624
53,53.99,59.1768
52,55.15,58.6782
51,56.16,58.2912
50,57.24,57.8182
49,58.31,57.2102
48,59.35,56.7403
47,60.46,56.3101
46,61.56,55.8246
45,62.67,55.1754
44,63.6,54.7364
43,64.64,54.3013
42,65.72,53.7692
41,66.82,53.0641
40,67.84,52.6052
39,68.87,52.1631
38,69.91,51.5448
37,70.99,50.8664
36,72.14,50.3364
35,73.19,49.7762
34,74.23,49.049
33,75.32,48.512
32,76.37,48.0096
31,77.47,47.122
30,78.61,46.4734
29,79.82,45.7117
28,80.98,44.7944
27,82.15,44.1444
26,83.37,43.1028
25,84.6,42.2727
24,85.93,41
23,87.28,40.0288
22,88.5,38.8175
21,89.88,37.5625
20,91.23,36.1667
19,92.47,34.6822
18,93.76,32.9889
17,94.85,31.5918
16,95.94,29.8125
15,96.87,28.1429
14,97.64,26.3519
13,98.38,24.2703
12,98.9,22.2759
11,99.3,20.1579
10,99.54,18.5333
9,99.71,16.7
8,99.84,14.7501
7,99.92,12.3334
6,99.96,10.5
5,99.98,8
4,100,0
3,100,0
2,100,0
1,100,0
0,100,0
geography,cume,0
100,0,99
99,0,99
98,0,99
97,0,99
96,0,99
95,0,99
94,0.04,95
93,0.04,95
92,0.12,93.4286
91,0.12,93.4286
90,0.36,91.1333
89,0.36,91.1333
88,0.91,88.7632
87,0.91,88.7632
86,1.83,86.6936
85,1.83,86.6936
84,3.1,84.663
83,3.1,84.663
82,5.14,82.4855
81,5.14,82.4855
80,7.83,80.383
79,7.83,80.383
78,10.85,78.3962
77,10.85,78.3962
76,14.44,76.4056
75,14.44,76.4056
74,18.03,74.5837
73,18.03,74.5837
72,22.2,72.6028
71,22.2,72.6028
70,26.92,70.5587
69,26.92,70.5587
68,31.55,68.6154
67,31.55,68.6154
66,36.23,66.6735
65,36.23,66.6735
64,41.09,64.709
63,41.09,64.709
62,45.69,62.8125
61,45.69,62.8125
60,50.72,60.6473
59,50.72,60.6473
58,55.51,58.5402
57,55.51,58.5402
56,60.48,56.3023
55,60.48,56.3023
54,65.16,54.0837
53,65.16,54.0837
52,69.46,51.8552
51,69.46,51.8552
50,73.67,49.4406
49,73.67,49.4406
48,77.05,47.4634
47,77.05,47.4634
46,80.6,45.009
45,80.6,45.009
44,84.09,42.6039
43,84.09,42.6039
42,86.98,40.2446
41,86.98,40.2446
40,89.45,38.0635
39,89.45,38.0635
38,91.53,35.8333
37,91.53,35.8333
36,93.5,33.4545
35,93.5,33.4545
34,95.15,30.9859
33,95.15,30.9859
32,96.53,28.6825
31,96.53,28.6825
30,97.41,26.7778
29,97.41,26.7778
28,98.18,24.8108
27,98.18,24.8108
26,98.77,22.7242
25,98.77,22.7242
24,99.26,20.3684
23,99.26,20.3684
22,99.53,18.6
21,99.53,18.6
20,99.69,16.9
19,99.69,16.9
18,99.84,14.7501
17,99.84,14.7501
16,99.91,12.6666
15,99.91,12.6666
14,99.95,11
13,99.95,11
12,99.97,10
11,99.97,10
10,99.97,10
9,99.97,10
8,99.97,10
7,99.97,10
6,99.98,8
5,99.98,8
4,99.98,8
3,99.98,8
2,99.98,8
1,99.98,8
0,100,0
history,cume,0
100,0,99
99,0,99
98,0,99
97,0,99
96,0,99
95,0,99
94,0.01,98
93,0.01,98
92,0.03,96
91,0.1,93.7143
90,0.21,92.25
89,0.29,91.6
88,0.42,90.7333
87,0.73,89.3103
86,1.08,88.3158
85,1.49,87.3409
84,2.08,86.2903
83,2.78,85.0189
82,3.6,84.1196
81,4.58,82.8913
80,5.67,82.1014
79,6.95,80.8511
78,8.41,80.0745
77,9.9,78.8443
76,11.42,78.1274
75,13.09,76.9478
74,15.06,76.1566
73,17.12,74.9377
72,19.16,74.144
71,21.34,72.9078
70,23.33,72.2021
69,25.54,71.0787
68,27.78,70.2527
67,30.09,69.1837
